time(UTC),ghi,dni,dhi,temp_air,wind_speed
1990-01-01 00:00:00+00:00,0.0,0.0,0.0,2.43,4.3
1990-01-01 01:00:00+00:00,0.0,0.0,0.0,2.85,4.36
1990-01-01 02:00:00+00:00,0.0,0.0,0.0,3.27,4.41
1990-01-01 03:00:00+00:00,0.0,0.0,0.0,3.69,4.46
1990-01-01 04:00:00+00:00,0.0,0.0,0.0,4.11,4.51
1990-01-01 05:00:00+00:00,0.0,0.0,0.0,4.53,4.57
1990-01-01 06:00:00+00:00,0.0,0.0,0.0,4.95,4.62
1990-01-01 07:00:00+00:00,0.0,0.0,0.0,5.37,4.67
1990-01-01 08:00:00+00:00,0.0,0.0,0.0,6.04,5.66
1990-01-01 09:00:00+00:00,21.0,0.0,21.0,6.29,6.21
1990-01-01 10:00:00+00:00,54.0,5.7,53.0,6.55,7.17
1990-01-01 11:00:00+00:00,44.0,0.0,44.0,6.31,8.34
1990-01-01 12:00:00+00:00,50.0,0.0,50.0,6.13,8.62
1990-01-01 13:00:00+00:00,17.0,0.0,17.0,7.24,9.03
1990-01-01 14:00:00+00:00,64.0,17.11,61.0,8.23,8.07
1990-01-01 15:00:00+00:00,27.0,23.21,25.0,9.12,7.24
1990-01-01 16:00:00+00:00,0.0,0.0,0.0,9.24,6.69
1990-01-01 17:00:00+00:00,0.0,0.0,0.0,9.39,6.55
1990-01-01 18:00:00+00:00,0.0,0.0,0.0,9.67,6.76
1990-01-01 19:00:00+00:00,0.0,0.0,0.0,9.25,6.14
1990-01-01 20:00:00+00:00,0.0,0.0,0.0,9.58,6.48
1990-01-01 21:00:00+00:00,0.0,0.0,0.0,9.48,6.76
1990-01-01 22:00:00+00:00,0.0,0.0,0.0,8.74,6.0
1990-01-01 23:00:00+00:00,0.0,0.0,0.0,8.18,5.52
1990-01-02 00:00:00+00:00,0.0,0.0,0.0,7.76,5.38
1990-01-02 01:00:00+00:00,0.0,0.0,0.0,7.46,4.62
1990-01-02 02:00:00+00:00,0.0,0.0,0.0,7.07,4.07
1990-01-02 03:00:00+00:00,0.0,0.0,0.0,6.61,3.86
1990-01-02 04:00:00+00:00,0.0,0.0,0.0,6.07,3.93
1990-01-02 05:00:00+00:00,0.0,0.0,0.0,5.44,3.79
1990-01-02 06:00:00+00:00,0.0,0.0,0.0,4.61,3.45
1990-01-02 07:00:00+00:00,0.0,0.0,0.0,4.22,3.79
1990-01-02 08:00:00+00:00,0.0,0.0,0.0,3.86,3.59
1990-01-02 09:00:00+00:00,55.0,298.9,29.0,3.87,3.52
1990-01-02 10:00:00+00:00,138.0,465.1,56.0,4.8,4.0
1990-01-02 11:00:00+00:00,198.0,563.29,67.0,6.01,3.86
1990-01-02 12:00:00+00:00,232.0,690.72,58.0,6.98,4.62
1990-01-02 13:00:00+00:00,168.0,317.54,94.0,7.51,5.79
1990-01-02 14:00:00+00:00,52.0,5.64,51.0,7.62,5.03
1990-01-02 15:00:00+00:00,44.0,135.91,32.0,7.36,4.97
1990-01-02 16:00:00+00:00,0.0,0.0,0.0,6.66,4.62
1990-01-02 17:00:00+00:00,0.0,0.0,0.0,6.17,4.62
1990-01-02 18:00:00+00:00,0.0,0.0,0.0,5.99,4.83
1990-01-02 19:00:00+00:00,0.0,0.0,0.0,6.44,4.97
1990-01-02 20:00:00+00:00,0.0,0.0,0.0,6.66,4.97
1990-01-02 21:00:00+00:00,0.0,0.0,0.0,6.78,5.93
1990-01-02 22:00:00+00:00,0.0,0.0,0.0,7.48,6.97
1990-01-02 23:00:00+00:00,0.0,0.0,0.0,8.2,7.79
1990-01-03 00:00:00+00:00,0.0,0.0,0.0,8.44,8.07
1990-01-03 01:00:00+00:00,0.0,0.0,0.0,8.86,7.31
1990-01-03 02:00:00+00:00,0.0,0.0,0.0,8.37,6.55
1990-01-03 03:00:00+00:00,0.0,0.0,0.0,7.45,6.28
1990-01-03 04:00:00+00:00,0.0,0.0,0.0,6.99,6.83
1990-01-03 05:00:00+00:00,0.0,0.0,0.0,6.82,7.24
1990-01-03 06:00:00+00:00,0.0,0.0,0.0,6.85,7.59
1990-01-03 07:00:00+00:00,0.0,0.0,0.0,6.82,7.03
1990-01-03 08:00:00+00:00,0.0,0.0,0.0,6.39,7.52
1990-01-03 09:00:00+00:00,48.0,182.48,32.0,5.94,7.59
1990-01-03 10:00:00+00:00,141.0,490.72,54.0,6.07,7.38
1990-01-03 11:00:00+00:00,173.0,346.39,92.0,6.56,7.59
1990-01-03 12:00:00+00:00,200.0,426.06,92.0,6.92,8.48
1990-01-03 13:00:00+00:00,111.0,55.35,98.0,7.0,8.34
1990-01-03 14:00:00+00:00,88.0,78.08,74.0,6.43,8.69
1990-01-03 15:00:00+00:00,61.0,386.66,26.0,6.0,8.0
1990-01-03 16:00:00+00:00,0.0,0.0,0.0,5.75,8.0
1990-01-03 17:00:00+00:00,0.0,0.0,0.0,5.61,8.62
1990-01-03 18:00:00+00:00,0.0,0.0,0.0,5.88,9.45
1990-01-03 19:00:00+00:00,0.0,0.0,0.0,5.53,8.9
1990-01-03 20:00:00+00:00,0.0,0.0,0.0,5.7,9.1
1990-01-03 21:00:00+00:00,0.0,0.0,0.0,5.7,8.83
1990-01-03 22:00:00+00:00,0.0,0.0,0.0,5.73,8.34
1990-01-03 23:00:00+00:00,0.0,0.0,0.0,5.37,7.59
1990-01-04 00:00:00+00:00,0.0,0.0,0.0,5.32,6.83
1990-01-04 01:00:00+00:00,0.0,0.0,0.0,5.08,5.59
1990-01-04 02:00:00+00:00,0.0,0.0,0.0,4.51,4.83
1990-01-04 03:00:00+00:00,0.0,0.0,0.0,4.04,3.86
1990-01-04 04:00:00+00:00,0.0,0.0,0.0,3.94,3.38
1990-01-04 05:00:00+00:00,0.0,0.0,0.0,4.09,3.38
1990-01-04 06:00:00+00:00,0.0,0.0,0.0,4.4,3.45
1990-01-04 07:00:00+00:00,0.0,0.0,0.0,5.38,3.45
1990-01-04 08:00:00+00:00,0.0,0.0,0.0,5.79,3.03
1990-01-04 09:00:00+00:00,50.0,214.68,31.0,6.02,3.17
1990-01-04 10:00:00+00:00,70.0,28.03,65.0,6.12,3.17
1990-01-04 11:00:00+00:00,66.0,0.0,66.0,6.05,2.48
1990-01-04 12:00:00+00:00,52.0,0.0,52.0,5.98,2.07
1990-01-04 13:00:00+00:00,62.0,0.0,62.0,5.87,2.07
1990-01-04 14:00:00+00:00,92.0,88.17,76.0,5.62,2.55
1990-01-04 15:00:00+00:00,49.0,172.31,33.0,5.41,3.45
1990-01-04 16:00:00+00:00,0.0,0.0,0.0,4.9,4.14
1990-01-04 17:00:00+00:00,0.0,0.0,0.0,4.47,4.0
1990-01-04 18:00:00+00:00,0.0,0.0,0.0,3.99,3.45
1990-01-04 19:00:00+00:00,0.0,0.0,0.0,3.74,3.17
1990-01-04 20:00:00+00:00,0.0,0.0,0.0,3.07,3.24
1990-01-04 21:00:00+00:00,0.0,0.0,0.0,2.23,3.1
1990-01-04 22:00:00+00:00,0.0,0.0,0.0,1.44,2.9
1990-01-04 23:00:00+00:00,0.0,0.0,0.0,0.81,2.97
1990-01-05 00:00:00+00:00,0.0,0.0,0.0,0.5,3.17
1990-01-05 01:00:00+00:00,0.0,0.0,0.0,0.54,3.31
1990-01-05 02:00:00+00:00,0.0,0.0,0.0,0.7,3.38
1990-01-05 03:00:00+00:00,0.0,0.0,0.0,0.71,3.31
1990-01-05 04:00:00+00:00,0.0,0.0,0.0,0.6,3.24
1990-01-05 05:00:00+00:00,0.0,0.0,0.0,0.43,3.17
1990-01-05 06:00:00+00:00,0.0,0.0,0.0,0.27,3.1
1990-01-05 07:00:00+00:00,0.0,0.0,0.0,0.56,2.9
1990-01-05 08:00:00+00:00,0.0,0.0,0.0,0.55,3.03
1990-01-05 09:00:00+00:00,36.0,55.9,31.0,0.82,3.24
1990-01-05 10:00:00+00:00,67.0,16.7,64.0,2.31,3.79
1990-01-05 11:00:00+00:00,58.0,0.0,58.0,3.44,4.34
1990-01-05 12:00:00+00:00,58.0,0.0,58.0,4.32,4.9
1990-01-05 13:00:00+00:00,70.0,0.0,70.0,4.88,5.38
1990-01-05 14:00:00+00:00,57.0,5.44,56.0,5.72,6.14
1990-01-05 15:00:00+00:00,29.0,10.49,28.0,6.57,6.76
1990-01-05 16:00:00+00:00,0.0,0.0,0.0,7.09,7.1
1990-01-05 17:00:00+00:00,0.0,0.0,0.0,7.56,7.38
1990-01-05 18:00:00+00:00,0.0,0.0,0.0,7.83,7.52
1990-01-05 19:00:00+00:00,0.0,0.0,0.0,7.89,8.07
1990-01-05 20:00:00+00:00,0.0,0.0,0.0,8.92,8.21
1990-01-05 21:00:00+00:00,0.0,0.0,0.0,10.47,8.41
1990-01-05 22:00:00+00:00,0.0,0.0,0.0,11.12,8.48
1990-01-05 23:00:00+00:00,0.0,0.0,0.0,11.33,8.69
1990-01-06 00:00:00+00:00,0.0,0.0,0.0,10.98,7.79
1990-01-06 01:00:00+00:00,0.0,0.0,0.0,10.17,7.24
1990-01-06 02:00:00+00:00,0.0,0.0,0.0,9.33,7.31
1990-01-06 03:00:00+00:00,0.0,0.0,0.0,8.59,6.9
1990-01-06 04:00:00+00:00,0.0,0.0,0.0,8.24,6.9
1990-01-06 05:00:00+00:00,0.0,0.0,0.0,7.88,6.83
1990-01-06 06:00:00+00:00,0.0,0.0,0.0,7.57,6.83
1990-01-06 07:00:00+00:00,0.0,0.0,0.0,7.35,6.55
1990-01-06 08:00:00+00:00,0.0,0.0,0.0,7.38,6.83
1990-01-06 09:00:00+00:00,54.0,254.08,31.0,7.79,7.17
1990-01-06 10:00:00+00:00,120.0,259.67,73.0,8.55,7.72
1990-01-06 11:00:00+00:00,184.0,402.61,88.0,9.36,8.34
1990-01-06 12:00:00+00:00,207.0,444.09,92.0,9.71,8.83
1990-01-06 13:00:00+00:00,188.0,418.86,87.0,9.77,9.45
