time(UTC),ghi,dni,dhi,temp_air,wind_speed
1990-01-01 00:00:00+00:00,0.0,0.0,0.0,4.64,7.46
1990-01-01 01:00:00+00:00,0.0,0.0,0.0,4.37,6.78
1990-01-01 02:00:00+00:00,0.0,0.0,0.0,4.11,6.1
1990-01-01 03:00:00+00:00,0.0,0.0,0.0,3.84,5.42
1990-01-01 04:00:00+00:00,0.0,0.0,0.0,3.57,4.74
1990-01-01 05:00:00+00:00,0.0,0.0,0.0,3.3,4.06
1990-01-01 06:00:00+00:00,0.0,0.0,0.0,3.04,3.38
1990-01-01 07:00:00+00:00,0.0,0.0,0.0,2.77,2.7
1990-01-01 08:00:00+00:00,0.0,0.0,0.0,4.61,4.48
1990-01-01 09:00:00+00:00,1.0,0.0,1.0,4.86,4.62
1990-01-01 10:00:00+00:00,17.0,0.0,17.0,5.21,4.69
1990-01-01 11:00:00+00:00,35.0,0.0,35.0,5.64,4.76
1990-01-01 12:00:00+00:00,39.0,0.0,39.0,6.05,4.41
1990-01-01 13:00:00+00:00,92.0,101.89,74.0,6.11,5.03
1990-01-01 14:00:00+00:00,10.0,0.0,10.0,6.02,4.9
1990-01-01 15:00:00+00:00,5.0,0.0,5.0,5.77,4.9
1990-01-01 16:00:00+00:00,0.0,0.0,0.0,5.62,5.1
1990-01-01 17:00:00+00:00,0.0,0.0,0.0,5.6,5.31
1990-01-01 18:00:00+00:00,0.0,0.0,0.0,5.51,5.38
1990-01-01 19:00:00+00:00,0.0,0.0,0.0,4.86,5.24
1990-01-01 20:00:00+00:00,0.0,0.0,0.0,4.81,5.31
1990-01-01 21:00:00+00:00,0.0,0.0,0.0,5.0,5.59
1990-01-01 22:00:00+00:00,0.0,0.0,0.0,5.2,5.93
1990-01-01 23:00:00+00:00,0.0,0.0,0.0,5.29,6.21
1990-01-02 00:00:00+00:00,0.0,0.0,0.0,5.47,6.55
1990-01-02 01:00:00+00:00,0.0,0.0,0.0,5.57,6.97
1990-01-02 02:00:00+00:00,0.0,0.0,0.0,5.88,7.17
1990-01-02 03:00:00+00:00,0.0,0.0,0.0,6.27,7.31
1990-01-02 04:00:00+00:00,0.0,0.0,0.0,6.49,7.52
1990-01-02 05:00:00+00:00,0.0,0.0,0.0,6.7,7.66
1990-01-02 06:00:00+00:00,0.0,0.0,0.0,6.78,7.86
1990-01-02 07:00:00+00:00,0.0,0.0,0.0,7.0,7.72
1990-01-02 08:00:00+00:00,0.0,0.0,0.0,7.2,7.86
1990-01-02 09:00:00+00:00,8.0,0.0,8.0,7.31,8.0
1990-01-02 10:00:00+00:00,85.0,424.97,35.0,7.58,8.14
1990-01-02 11:00:00+00:00,75.0,46.49,67.0,7.85,8.21
1990-01-02 12:00:00+00:00,53.0,0.0,53.0,8.09,8.07
1990-01-02 13:00:00+00:00,49.0,0.0,49.0,8.13,7.79
1990-01-02 14:00:00+00:00,39.0,7.71,38.0,7.88,7.52
1990-01-02 15:00:00+00:00,5.0,0.0,5.0,7.96,7.66
1990-01-02 16:00:00+00:00,0.0,0.0,0.0,8.2,7.31
1990-01-02 17:00:00+00:00,0.0,0.0,0.0,8.53,7.1
1990-01-02 18:00:00+00:00,0.0,0.0,0.0,8.78,7.17
1990-01-02 19:00:00+00:00,0.0,0.0,0.0,8.81,7.52
1990-01-02 20:00:00+00:00,0.0,0.0,0.0,9.21,7.86
1990-01-02 21:00:00+00:00,0.0,0.0,0.0,9.33,7.79
1990-01-02 22:00:00+00:00,0.0,0.0,0.0,9.28,7.45
1990-01-02 23:00:00+00:00,0.0,0.0,0.0,8.72,6.28
1990-01-03 00:00:00+00:00,0.0,0.0,0.0,7.31,5.66
1990-01-03 01:00:00+00:00,0.0,0.0,0.0,5.83,4.48
1990-01-03 02:00:00+00:00,0.0,0.0,0.0,4.57,3.38
1990-01-03 03:00:00+00:00,0.0,0.0,0.0,3.59,3.17
1990-01-03 04:00:00+00:00,0.0,0.0,0.0,2.95,3.38
1990-01-03 05:00:00+00:00,0.0,0.0,0.0,2.68,3.52
1990-01-03 06:00:00+00:00,0.0,0.0,0.0,2.52,3.66
1990-01-03 07:00:00+00:00,0.0,0.0,0.0,3.18,4.14
1990-01-03 08:00:00+00:00,0.0,0.0,0.0,3.67,4.41
1990-01-03 09:00:00+00:00,6.0,0.0,6.0,4.05,4.69
1990-01-03 10:00:00+00:00,75.0,278.04,42.0,4.14,4.97
1990-01-03 11:00:00+00:00,137.0,496.01,51.0,4.61,5.31
1990-01-03 12:00:00+00:00,154.0,478.5,61.0,5.14,5.59
1990-01-03 13:00:00+00:00,137.0,432.91,59.0,5.42,5.24
1990-01-03 14:00:00+00:00,71.0,151.73,51.0,5.46,5.24
1990-01-03 15:00:00+00:00,16.0,0.0,16.0,5.26,5.24
1990-01-03 16:00:00+00:00,0.0,0.0,0.0,5.12,5.24
1990-01-03 17:00:00+00:00,0.0,0.0,0.0,4.88,5.24
1990-01-03 18:00:00+00:00,0.0,0.0,0.0,4.79,5.31
1990-01-03 19:00:00+00:00,0.0,0.0,0.0,5.18,5.66
1990-01-03 20:00:00+00:00,0.0,0.0,0.0,5.2,5.79
1990-01-03 21:00:00+00:00,0.0,0.0,0.0,5.51,5.93
1990-01-03 22:00:00+00:00,0.0,0.0,0.0,6.15,6.28
1990-01-03 23:00:00+00:00,0.0,0.0,0.0,6.22,6.21
1990-01-04 00:00:00+00:00,0.0,0.0,0.0,5.93,6.14
1990-01-04 01:00:00+00:00,0.0,0.0,0.0,5.94,6.28
1990-01-04 02:00:00+00:00,0.0,0.0,0.0,6.27,6.21
1990-01-04 03:00:00+00:00,0.0,0.0,0.0,6.48,6.21
1990-01-04 04:00:00+00:00,0.0,0.0,0.0,6.81,6.28
1990-01-04 05:00:00+00:00,0.0,0.0,0.0,7.02,6.21
1990-01-04 06:00:00+00:00,0.0,0.0,0.0,6.98,6.0
1990-01-04 07:00:00+00:00,0.0,0.0,0.0,6.76,5.93
1990-01-04 08:00:00+00:00,0.0,0.0,0.0,6.9,5.59
1990-01-04 09:00:00+00:00,1.0,0.0,1.0,7.08,5.31
1990-01-04 10:00:00+00:00,60.0,125.16,45.0,7.23,5.1
1990-01-04 11:00:00+00:00,74.0,45.76,66.0,7.43,4.97
1990-01-04 12:00:00+00:00,58.0,5.1,57.0,7.78,4.97
1990-01-04 13:00:00+00:00,22.0,0.0,22.0,8.16,5.1
1990-01-04 14:00:00+00:00,19.0,0.0,19.0,8.09,4.76
1990-01-04 15:00:00+00:00,2.0,0.0,2.0,7.67,4.62
1990-01-04 16:00:00+00:00,0.0,0.0,0.0,7.34,4.48
1990-01-04 17:00:00+00:00,0.0,0.0,0.0,7.31,4.48
1990-01-04 18:00:00+00:00,0.0,0.0,0.0,7.3,4.48
1990-01-04 19:00:00+00:00,0.0,0.0,0.0,7.03,4.62
1990-01-04 20:00:00+00:00,0.0,0.0,0.0,6.95,4.48
1990-01-04 21:00:00+00:00,0.0,0.0,0.0,6.97,4.69
1990-01-04 22:00:00+00:00,0.0,0.0,0.0,7.07,4.97
1990-01-04 23:00:00+00:00,0.0,0.0,0.0,7.26,5.17
1990-01-05 00:00:00+00:00,0.0,0.0,0.0,7.45,5.38
1990-01-05 01:00:00+00:00,0.0,0.0,0.0,7.41,5.66
1990-01-05 02:00:00+00:00,0.0,0.0,0.0,7.43,6.0
1990-01-05 03:00:00+00:00,0.0,0.0,0.0,7.39,6.14
1990-01-05 04:00:00+00:00,0.0,0.0,0.0,7.32,6.28
1990-01-05 05:00:00+00:00,0.0,0.0,0.0,7.19,6.28
1990-01-05 06:00:00+00:00,0.0,0.0,0.0,6.95,6.28
1990-01-05 07:00:00+00:00,0.0,0.0,0.0,7.17,6.41
1990-01-05 08:00:00+00:00,0.0,0.0,0.0,7.19,6.28
1990-01-05 09:00:00+00:00,9.0,0.0,9.0,7.27,6.0
1990-01-05 10:00:00+00:00,64.0,148.6,46.0,7.64,5.93
1990-01-05 11:00:00+00:00,86.0,79.37,72.0,7.96,6.14
1990-01-05 12:00:00+00:00,47.0,0.0,47.0,8.33,6.14
1990-01-05 13:00:00+00:00,48.0,0.0,48.0,8.6,6.07
1990-01-05 14:00:00+00:00,35.0,0.0,35.0,8.72,6.0
1990-01-05 15:00:00+00:00,5.0,0.0,5.0,8.78,5.93
1990-01-05 16:00:00+00:00,0.0,0.0,0.0,8.72,5.79
1990-01-05 17:00:00+00:00,0.0,0.0,0.0,8.78,5.72
1990-01-05 18:00:00+00:00,0.0,0.0,0.0,8.88,5.66
1990-01-05 19:00:00+00:00,0.0,0.0,0.0,9.19,5.45
1990-01-05 20:00:00+00:00,0.0,0.0,0.0,9.24,5.45
1990-01-05 21:00:00+00:00,0.0,0.0,0.0,9.26,5.45
1990-01-05 22:00:00+00:00,0.0,0.0,0.0,9.13,5.45
1990-01-05 23:00:00+00:00,0.0,0.0,0.0,8.81,5.38
1990-01-06 00:00:00+00:00,0.0,0.0,0.0,8.39,5.72
1990-01-06 01:00:00+00:00,0.0,0.0,0.0,7.87,6.21
1990-01-06 02:00:00+00:00,0.0,0.0,0.0,7.49,6.48
1990-01-06 03:00:00+00:00,0.0,0.0,0.0,7.41,6.62
1990-01-06 04:00:00+00:00,0.0,0.0,0.0,7.4,6.83
1990-01-06 05:00:00+00:00,0.0,0.0,0.0,7.46,7.17
1990-01-06 06:00:00+00:00,0.0,0.0,0.0,7.34,7.52
1990-01-06 07:00:00+00:00,0.0,0.0,0.0,7.46,7.52
1990-01-06 08:00:00+00:00,0.0,0.0,0.0,7.41,7.79
1990-01-06 09:00:00+00:00,1.0,0.0,1.0,7.67,8.34
1990-01-06 10:00:00+00:00,21.0,0.0,21.0,7.98,8.48
1990-01-06 11:00:00+00:00,115.0,241.48,72.0,8.16,8.69
1990-01-06 12:00:00+00:00,47.0,0.0,47.0,8.2,8.62
1990-01-06 13:00:00+00:00,132.0,332.64,70.0,7.95,8.07
1990-01-06 14:00:00+00:00,86.0,245.28,52.0,8.03,7.31
1990-01-06 15:00:00+00:00,3.0,0.0,3.0,7.91,6.55
1990-01-06 16:00:00+00:00,0.0,0.0,0.0,7.34,5.93
1990-01-06 17:00:00+00:00,0.0,0.0,0.0,6.64,6.21
1990-01-06 18:00:00+00:00,0.0,0.0,0.0,6.02,6.14
1990-01-06 19:00:00+00:00,0.0,0.0,0.0,6.11,6.07
1990-01-06 20:00:00+00:00,0.0,0.0,0.0,5.9,5.93
1990-01-06 21:00:00+00:00,0.0,0.0,0.0,5.62,5.45
1990-01-06 22:00:00+00:00,0.0,0.0,0.0,5.41,5.31
1990-01-06 23:00:00+00:00,0.0,0.0,0.0,5.25,5.17
1990-01-07 00:00:00+00:00,0.0,0.0,0.0,5.06,5.17
1990-01-07 01:00:00+00:00,0.0,0.0,0.0,4.94,5.31
1990-01-07 02:00:00+00:00,0.0,0.0,0.0,4.74,5.17
1990-01-07 03:00:00+00:00,0.0,0.0,0.0,4.71,5.1
1990-01-07 04:00:00+00:00,0.0,0.0,0.0,4.81,5.45
1990-01-07 05:00:00+00:00,0.0,0.0,0.0,5.24,6.07
1990-01-07 06:00:00+00:00,0.0,0.0,0.0,5.73,6.41
1990-01-07 07:00:00+00:00,0.0,0.0,0.0,6.77,7.38
1990-01-07 08:00:00+00:00,0.0,0.0,0.0,7.61,8.28
1990-01-07 09:00:00+00:00,1.0,0.0,1.0,8.01,8.69
1990-01-07 10:00:00+00:00,47.0,32.24,43.0,8.48,9.31
1990-01-07 11:00:00+00:00,33.0,0.0,33.0,9.43,9.79
1990-01-07 12:00:00+00:00,29.0,0.0,29.0,10.29,10.14
1990-01-07 13:00:00+00:00,52.0,0.0,52.0,10.81,10.34
1990-01-07 14:00:00+00:00,38.0,7.09,37.0,11.16,10.34
1990-01-07 15:00:00+00:00,17.0,0.0,17.0,11.28,10.14
1990-01-07 16:00:00+00:00,0.0,0.0,0.0,11.44,9.52
1990-01-07 17:00:00+00:00,0.0,0.0,0.0,11.63,9.24
1990-01-07 18:00:00+00:00,0.0,0.0,0.0,11.85,9.38
1990-01-07 19:00:00+00:00,0.0,0.0,0.0,12.04,9.66
1990-01-07 20:00:00+00:00,0.0,0.0,0.0,11.31,9.1
1990-01-07 21:00:00+00:00,0.0,0.0,0.0,10.46,8.97
