time(UTC),ghi,dni,dhi,temp_air,wind_speed
1990-01-01 00:00:00+00:00,0.0,0.0,0.0,6.3,5.32
1990-01-01 01:00:00+00:00,0.0,0.0,0.0,6.07,5.3
1990-01-01 02:00:00+00:00,0.0,0.0,0.0,5.83,5.28
1990-01-01 03:00:00+00:00,0.0,0.0,0.0,5.59,5.27
1990-01-01 04:00:00+00:00,0.0,0.0,0.0,5.35,5.25
1990-01-01 05:00:00+00:00,0.0,0.0,0.0,5.12,5.24
1990-01-01 06:00:00+00:00,0.0,0.0,0.0,4.88,5.22
1990-01-01 07:00:00+00:00,0.0,0.0,0.0,4.64,5.21
1990-01-01 08:00:00+00:00,0.0,0.0,0.0,5.53,6.07
1990-01-01 09:00:00+00:00,7.0,0.0,7.0,5.82,6.83
1990-01-01 10:00:00+00:00,35.0,0.0,35.0,6.43,7.86
1990-01-01 11:00:00+00:00,80.0,18.74,76.0,6.55,9.45
1990-01-01 12:00:00+00:00,77.0,4.26,76.0,5.99,10.07
1990-01-01 13:00:00+00:00,16.0,0.0,16.0,5.91,9.66
1990-01-01 14:00:00+00:00,42.0,0.0,42.0,7.05,8.9
1990-01-01 15:00:00+00:00,32.0,61.48,27.0,8.63,7.72
1990-01-01 16:00:00+00:00,0.0,0.0,0.0,9.77,7.1
1990-01-01 17:00:00+00:00,0.0,0.0,0.0,10.37,6.83
1990-01-01 18:00:00+00:00,0.0,0.0,0.0,10.4,6.62
1990-01-01 19:00:00+00:00,0.0,0.0,0.0,10.26,7.03
1990-01-01 20:00:00+00:00,0.0,0.0,0.0,10.1,6.34
1990-01-01 21:00:00+00:00,0.0,0.0,0.0,9.55,5.17
1990-01-01 22:00:00+00:00,0.0,0.0,0.0,8.63,4.55
1990-01-01 23:00:00+00:00,0.0,0.0,0.0,7.83,4.83
1990-01-02 00:00:00+00:00,0.0,0.0,0.0,7.17,5.1
1990-01-02 01:00:00+00:00,0.0,0.0,0.0,6.74,5.24
1990-01-02 02:00:00+00:00,0.0,0.0,0.0,6.67,5.52
1990-01-02 03:00:00+00:00,0.0,0.0,0.0,6.68,5.66
1990-01-02 04:00:00+00:00,0.0,0.0,0.0,6.49,5.79
1990-01-02 05:00:00+00:00,0.0,0.0,0.0,6.29,5.52
1990-01-02 06:00:00+00:00,0.0,0.0,0.0,5.99,5.03
1990-01-02 07:00:00+00:00,0.0,0.0,0.0,6.22,5.31
1990-01-02 08:00:00+00:00,0.0,0.0,0.0,6.05,4.69
1990-01-02 09:00:00+00:00,39.0,267.06,21.0,5.82,4.28
1990-01-02 10:00:00+00:00,123.0,484.14,47.0,6.09,4.28
1990-01-02 11:00:00+00:00,157.0,340.25,84.0,6.81,4.55
1990-01-02 12:00:00+00:00,167.0,287.91,99.0,7.52,4.83
1990-01-02 13:00:00+00:00,129.0,145.18,97.0,8.12,4.83
1990-01-02 14:00:00+00:00,129.0,445.6,54.0,8.27,5.1
1990-01-02 15:00:00+00:00,43.0,179.8,28.0,8.0,4.9
1990-01-02 16:00:00+00:00,0.0,0.0,0.0,7.3,4.69
1990-01-02 17:00:00+00:00,0.0,0.0,0.0,6.75,5.1
1990-01-02 18:00:00+00:00,0.0,0.0,0.0,6.62,5.52
1990-01-02 19:00:00+00:00,0.0,0.0,0.0,6.56,5.93
1990-01-02 20:00:00+00:00,0.0,0.0,0.0,6.55,6.83
1990-01-02 21:00:00+00:00,0.0,0.0,0.0,6.67,7.72
1990-01-02 22:00:00+00:00,0.0,0.0,0.0,7.1,8.55
1990-01-02 23:00:00+00:00,0.0,0.0,0.0,7.59,9.03
1990-01-03 00:00:00+00:00,0.0,0.0,0.0,8.25,8.34
1990-01-03 01:00:00+00:00,0.0,0.0,0.0,8.76,7.17
1990-01-03 02:00:00+00:00,0.0,0.0,0.0,8.29,7.03
1990-01-03 03:00:00+00:00,0.0,0.0,0.0,7.69,7.1
1990-01-03 04:00:00+00:00,0.0,0.0,0.0,7.27,7.59
1990-01-03 05:00:00+00:00,0.0,0.0,0.0,7.11,7.93
1990-01-03 06:00:00+00:00,0.0,0.0,0.0,7.0,8.62
1990-01-03 07:00:00+00:00,0.0,0.0,0.0,6.88,8.21
1990-01-03 08:00:00+00:00,0.0,0.0,0.0,6.41,8.14
1990-01-03 09:00:00+00:00,4.0,0.0,4.0,6.26,8.69
1990-01-03 10:00:00+00:00,43.0,0.0,43.0,6.34,8.97
1990-01-03 11:00:00+00:00,133.0,176.07,95.0,6.88,9.1
1990-01-03 12:00:00+00:00,18.0,0.0,18.0,7.04,8.9
