time(UTC),ghi,dni,dhi,temp_air,wind_speed
1990-01-01 00:00:00+00:00,0.0,0.0,0.0,7.3,6.46
1990-01-01 01:00:00+00:00,0.0,0.0,0.0,7.32,6.49
1990-01-01 02:00:00+00:00,0.0,0.0,0.0,7.34,6.52
1990-01-01 03:00:00+00:00,0.0,0.0,0.0,7.36,6.55
1990-01-01 04:00:00+00:00,0.0,0.0,0.0,7.39,6.58
1990-01-01 05:00:00+00:00,0.0,0.0,0.0,7.41,6.61
1990-01-01 06:00:00+00:00,0.0,0.0,0.0,7.43,6.64
1990-01-01 07:00:00+00:00,0.0,0.0,0.0,7.45,6.67
1990-01-01 08:00:00+00:00,0.0,0.0,0.0,8.29,8.9
1990-01-01 09:00:00+00:00,31.0,9.05,30.0,8.19,9.79
1990-01-01 10:00:00+00:00,61.0,4.96,60.0,8.18,10.07
1990-01-01 11:00:00+00:00,70.0,0.0,70.0,8.43,12.0
1990-01-01 12:00:00+00:00,63.0,0.0,63.0,8.87,12.62
1990-01-01 13:00:00+00:00,53.0,0.0,53.0,9.64,11.93
1990-01-01 14:00:00+00:00,19.0,0.0,19.0,10.02,11.24
1990-01-01 15:00:00+00:00,33.0,19.31,31.0,10.23,10.83
1990-01-01 16:00:00+00:00,0.0,0.0,0.0,10.29,10.28
1990-01-01 17:00:00+00:00,0.0,0.0,0.0,10.27,9.72
1990-01-01 18:00:00+00:00,0.0,0.0,0.0,10.32,9.45
1990-01-01 19:00:00+00:00,0.0,0.0,0.0,10.72,9.66
1990-01-01 20:00:00+00:00,0.0,0.0,0.0,10.46,9.86
1990-01-01 21:00:00+00:00,0.0,0.0,0.0,9.98,9.45
1990-01-01 22:00:00+00:00,0.0,0.0,0.0,9.68,9.1
1990-01-01 23:00:00+00:00,0.0,0.0,0.0,9.34,8.14
1990-01-02 00:00:00+00:00,0.0,0.0,0.0,9.0,7.86
1990-01-02 01:00:00+00:00,0.0,0.0,0.0,8.97,6.9
1990-01-02 02:00:00+00:00,0.0,0.0,0.0,8.75,5.17
1990-01-02 03:00:00+00:00,0.0,0.0,0.0,8.25,5.45
1990-01-02 04:00:00+00:00,0.0,0.0,0.0,7.32,5.52
1990-01-02 05:00:00+00:00,0.0,0.0,0.0,7.05,4.97
1990-01-02 06:00:00+00:00,0.0,0.0,0.0,6.7,4.55
1990-01-02 07:00:00+00:00,0.0,0.0,0.0,6.67,5.17
1990-01-02 08:00:00+00:00,0.0,0.0,0.0,6.64,4.97
1990-01-02 09:00:00+00:00,78.0,396.47,34.0,6.9,4.83
1990-01-02 10:00:00+00:00,168.0,543.22,58.0,7.75,4.83
1990-01-02 11:00:00+00:00,232.0,639.42,66.0,8.68,4.41
1990-01-02 12:00:00+00:00,243.0,581.84,81.0,9.37,5.38
1990-01-02 13:00:00+00:00,227.0,617.06,68.0,9.58,6.0
1990-01-02 14:00:00+00:00,133.0,256.6,82.0,9.58,5.86
1990-01-02 15:00:00+00:00,68.0,312.23,35.0,9.27,5.52
1990-01-02 16:00:00+00:00,0.0,0.0,0.0,8.86,5.52
1990-01-02 17:00:00+00:00,0.0,0.0,0.0,8.74,6.14
1990-01-02 18:00:00+00:00,0.0,0.0,0.0,8.78,6.48
1990-01-02 19:00:00+00:00,0.0,0.0,0.0,9.27,6.55
1990-01-02 20:00:00+00:00,0.0,0.0,0.0,9.52,7.52
