Latitude (decimal degrees):	52.486
Longitude (decimal degrees):	-1.890
Elevation (m):	130
Radiation database:	PVGIS-SARAH2


Slope: 52 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	0.6
System losses (%):	0.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050101:0011,0.0,0.0,0.0,0.0,0.0,5.25,2.55,0.0
20050101:0111,0.0,0.0,0.0,0.0,0.0,4.72,2.69,0.0
20050101:0211,0.0,0.0,0.0,0.0,0.0,4.19,2.97,0.0
20050101:0311,0.0,0.0,0.0,0.0,0.0,4.72,3.17,0.0
20050101:0411,0.0,0.0,0.0,0.0,0.0,5.78,3.24,0.0
20050101:0511,0.0,0.0,0.0,0.0,0.0,6.31,3.38,0.0
20050101:0611,0.0,0.0,0.0,0.0,0.0,6.84,3.52,0.0
20050101:0711,0.0,0.0,0.0,0.0,0.0,7.37,4.07,0.0
20050101:0811,0.0,0.0,0.0,0.0,0.0,7.37,4.34,0.0
20050101:0911,0.0,0.0,2.41,0.12,4.96,7.37,4.69,0.0
20050101:1011,7.03,0.0,23.3,1.13,10.11,7.37,5.1,0.0
20050101:1111,104.52,92.22,101.48,4.73,13.38,7.9,5.72,0.0
20050101:1211,32.05,3.68,66.61,3.25,14.5,7.9,5.79,0.0
20050101:1311,4.8,0.0,18.48,0.9,13.37,8.43,6.41,0.0
20050101:1411,3.76,0.0,16.07,0.78,10.1,8.96,7.1,0.0
20050101:1511,0.28,0.0,6.43,0.31,4.94,9.49,8.07,0.0
20050101:1611,0.0,0.0,0.0,0.0,0.0,10.55,9.31,0.0
20050101:1711,0.0,0.0,0.0,0.0,0.0,10.02,10.14,0.0
20050101:1811,0.0,0.0,0.0,0.0,0.0,7.9,8.83,0.0
20050101:1911,0.0,0.0,0.0,0.0,0.0,6.84,7.45,0.0
20050101:2011,0.0,0.0,0.0,0.0,0.0,5.78,7.52,0.0
20050101:2111,0.0,0.0,0.0,0.0,0.0,5.25,7.72,0.0
20050101:2211,0.0,0.0,0.0,0.0,0.0,5.25,7.52,0.0
20050101:2311,0.0,0.0,0.0,0.0,0.0,4.19,6.97,0.0
20050102:0011,0.0,0.0,0.0,0.0,0.0,4.19,6.69,0.0
20050102:0111,0.0,0.0,0.0,0.0,0.0,3.66,6.62,0.0
20050102:0211,0.0,0.0,0.0,0.0,0.0,3.66,6.55,0.0
20050102:0311,0.0,0.0,0.0,0.0,0.0,3.66,6.34,0.0
20050102:0411,0.0,0.0,0.0,0.0,0.0,3.66,6.14,0.0
20050102:0511,0.0,0.0,0.0,0.0,0.0,3.13,5.93,0.0
20050102:0611,0.0,0.0,0.0,0.0,0.0,3.13,5.93,0.0
20050102:0711,0.0,0.0,0.0,0.0,0.0,3.13,6.0,0.0
20050102:0811,0.0,0.0,0.0,0.0,0.0,3.13,5.79,0.0
20050102:0911,28.12,44.85,18.23,0.9,4.99,3.13,5.59,0.0
20050102:1011,229.47,307.36,92.4,4.58,10.15,3.66,5.59,0.0
20050102:1111,338.03,458.86,131.43,7.27,13.45,4.19,5.17,0.0
20050102:1211,270.17,314.44,158.49,7.35,14.59,5.25,5.1,0.0
20050102:1311,415.11,592.0,143.91,8.49,13.48,5.78,5.52,0.0
20050102:1411,389.1,554.11,133.34,6.73,10.21,5.78,6.14,0.0
20050102:1511,118.61,140.39,77.22,2.58,5.07,5.25,6.0,0.0
20050102:1611,0.0,0.0,0.0,0.0,0.0,4.72,5.38,0.0
20050102:1711,0.0,0.0,0.0,0.0,0.0,4.19,4.9,0.0
20050102:1811,0.0,0.0,0.0,0.0,0.0,3.66,4.55,0.0
20050102:1911,0.0,0.0,0.0,0.0,0.0,3.66,4.41,0.0
20050102:2011,0.0,0.0,0.0,0.0,0.0,3.66,4.07,0.0
20050102:2111,0.0,0.0,0.0,0.0,0.0,3.13,3.93,0.0
20050102:2211,0.0,0.0,0.0,0.0,0.0,3.13,3.93,0.0
20050102:2311,0.0,0.0,0.0,0.0,0.0,3.13,4.14,0.0
20050103:0011,0.0,0.0,0.0,0.0,0.0,3.13,4.14,0.0
20050103:0111,0.0,0.0,0.0,0.0,0.0,3.13,4.07,0.0
20050103:0211,0.0,0.0,0.0,0.0,0.0,3.66,3.86,0.0
20050103:0311,0.0,0.0,0.0,0.0,0.0,4.19,3.72,0.0
20050103:0411,0.0,0.0,0.0,0.0,0.0,4.19,3.72,0.0
20050103:0511,0.0,0.0,0.0,0.0,0.0,4.19,3.72,0.0
20050103:0611,0.0,0.0,0.0,0.0,0.0,4.19,3.86,0.0
20050103:0711,0.0,0.0,0.0,0.0,0.0,5.25,4.41,0.0
20050103:0811,0.0,0.0,0.0,0.0,0.0,5.25,4.55,0.0
20050103:0911,10.2,14.81,15.17,0.74,5.03,5.78,4.62,0.0
20050103:1011,10.61,0.0,30.53,1.49,10.21,6.31,4.76,0.0
20050103:1111,259.83,323.3,137.74,6.61,13.52,7.37,4.28,0.0
20050103:1211,148.38,138.17,130.21,5.98,14.68,7.9,4.14,0.0
20050103:1311,223.04,246.61,152.62,6.69,13.58,8.96,4.41,0.0
20050103:1411,14.97,0.0,39.37,1.92,10.33,8.96,4.9,0.0
20050103:1511,130.18,158.96,82.36,2.7,5.19,8.96,5.03,0.0
20050103:1611,0.0,0.0,0.0,0.0,0.0,8.43,4.83,0.0
20050103:1711,0.0,0.0,0.0,0.0,0.0,7.37,4.83,0.0
20050103:1811,0.0,0.0,0.0,0.0,0.0,7.37,4.97,0.0
20050103:1911,0.0,0.0,0.0,0.0,0.0,6.84,5.38,0.0
20050103:2011,0.0,0.0,0.0,0.0,0.0,6.84,5.52,0.0
20050103:2111,0.0,0.0,0.0,0.0,0.0,6.84,5.86,0.0
20050103:2211,0.0,0.0,0.0,0.0,0.0,6.84,6.14,0.0
20050103:2311,0.0,0.0,0.0,0.0,0.0,6.84,6.34,0.0
20050104:0011,0.0,0.0,0.0,0.0,0.0,7.37,6.69,0.0
20050104:0111,0.0,0.0,0.0,0.0,0.0,7.37,6.83,0.0
20050104:0211,0.0,0.0,0.0,0.0,0.0,7.37,6.9,0.0
20050104:0311,0.0,0.0,0.0,0.0,0.0,7.37,7.17,0.0
20050104:0411,0.0,0.0,0.0,0.0,0.0,7.37,7.45,0.0
20050104:0511,0.0,0.0,0.0,0.0,0.0,7.9,7.72,0.0
20050104:0611,0.0,0.0,0.0,0.0,0.0,7.9,7.79,0.0
20050104:0711,0.0,0.0,0.0,0.0,0.0,8.43,7.86,0.0
20050104:0811,0.0,0.0,0.0,0.0,0.0,8.43,8.0,0.0
20050104:0911,0.51,0.0,7.23,0.35,5.08,8.43,8.0,0.0
20050104:1011,75.3,75.88,69.45,3.21,10.28,8.96,8.0,0.0
20050104:1111,2.76,0.0,13.66,0.66,13.61,9.49,7.79,0.0
20050104:1211,10.43,0.0,30.53,1.49,14.78,9.49,6.97,0.0
20050104:1311,23.98,0.0,56.24,2.74,13.7,9.49,5.66,0.0
20050104:1411,8.49,0.0,26.51,1.29,10.46,8.96,4.14,0.0
20050104:1511,24.96,21.19,37.2,1.68,5.33,8.43,3.66,0.0
20050104:1611,0.0,0.0,0.0,0.0,0.0,6.84,3.59,0.0
20050104:1711,0.0,0.0,0.0,0.0,0.0,5.78,3.59,0.0
20050104:1811,0.0,0.0,0.0,0.0,0.0,4.72,3.31,0.0
20050104:1911,0.0,0.0,0.0,0.0,0.0,3.66,3.17,0.0
20050104:2011,0.0,0.0,0.0,0.0,0.0,3.13,3.1,0.0
20050104:2111,0.0,0.0,0.0,0.0,0.0,2.6,3.24,0.0
20050104:2211,0.0,0.0,0.0,0.0,0.0,2.6,3.31,0.0
20050104:2311,0.0,0.0,0.0,0.0,0.0,2.07,3.17,0.0
20050105:0011,0.0,0.0,0.0,0.0,0.0,2.07,3.24,0.0
20050105:0111,0.0,0.0,0.0,0.0,0.0,2.07,3.31,0.0
20050105:0211,0.0,0.0,0.0,0.0,0.0,2.07,3.45,0.0
20050105:0311,0.0,0.0,0.0,0.0,0.0,2.07,3.38,0.0
20050105:0411,0.0,0.0,0.0,0.0,0.0,2.6,3.31,0.0
20050105:0511,0.0,0.0,0.0,0.0,0.0,2.6,3.31,0.0
20050105:0611,0.0,0.0,0.0,0.0,0.0,2.6,3.38,0.0
20050105:0711,0.0,0.0,0.0,0.0,0.0,3.13,3.66,0.0
20050105:0811,0.0,0.0,0.0,0.0,0.0,3.13,3.93,0.0
20050105:0911,14.2,21.73,15.87,0.78,5.13,3.66,4.41,0.0
20050105:1011,5.65,0.0,20.09,0.98,10.35,4.19,5.1,0.0
20050105:1111,75.16,52.61,90.08,4.3,13.7,5.25,5.52,0.0
20050105:1211,26.3,0.0,59.46,2.89,14.89,5.25,5.59,0.0
20050105:1311,121.21,100.96,118.68,5.44,13.82,5.78,6.0,0.0
20050105:1411,25.07,4.37,53.18,2.58,10.59,6.31,6.21,0.0
20050105:1511,4.15,0.0,16.87,0.82,5.47,6.84,6.62,0.0
20050105:1611,0.0,0.0,0.0,0.0,0.0,6.84,6.76,0.0
20050105:1711,0.0,0.0,0.0,0.0,0.0,7.37,6.76,0.0
20050105:1811,0.0,0.0,0.0,0.0,0.0,7.37,6.69,0.0
20050105:1911,0.0,0.0,0.0,0.0,0.0,7.9,5.59,0.0
20050105:2011,0.0,0.0,0.0,0.0,0.0,7.37,5.38,0.0
20050105:2111,0.0,0.0,0.0,0.0,0.0,6.84,4.9,0.0
20050105:2211,0.0,0.0,0.0,0.0,0.0,6.31,4.55,0.0
20050105:2311,0.0,0.0,0.0,0.0,0.0,5.25,4.41,0.0
20050106:0011,0.0,0.0,0.0,0.0,0.0,4.72,4.07,0.0
20050106:0111,0.0,0.0,0.0,0.0,0.0,4.19,3.86,0.0
20050106:0211,0.0,0.0,0.0,0.0,0.0,3.66,3.24,0.0
20050106:0311,0.0,0.0,0.0,0.0,0.0,3.13,2.83,0.0
20050106:0411,0.0,0.0,0.0,0.0,0.0,3.13,2.97,0.0
20050106:0511,0.0,0.0,0.0,0.0,0.0,3.13,3.17,0.0
20050106:0611,0.0,0.0,0.0,0.0,0.0,3.13,3.24,0.0
20050106:0711,0.0,0.0,0.0,0.0,0.0,3.13,3.45,0.0
20050106:0811,0.0,0.0,0.0,0.0,0.0,3.13,3.66,0.0
20050106:0911,0.79,0.0,8.03,0.39,5.19,4.19,3.79,0.0
20050106:1011,135.56,158.29,86.17,3.91,10.43,5.25,4.34,0.0
20050106:1111,312.03,414.38,136.71,7.24,13.79,6.84,5.03,0.0
20050106:1211,223.29,242.59,154.29,7.08,15.01,7.9,4.69,0.0
20050106:1311,63.48,33.39,91.4,4.38,13.95,8.43,4.97,0.0
20050106:1411,164.46,172.81,124.04,5.08,10.73,8.96,6.34,0.0
20050106:1511,5.13,0.0,19.28,0.94,5.62,9.49,6.55,0.0
20050106:1611,0.0,0.0,0.0,0.0,0.0,9.49,6.97,0.0
20050106:1711,0.0,0.0,0.0,0.0,0.0,10.02,7.38,0.0
20050106:1811,0.0,0.0,0.0,0.0,0.0,10.02,7.59,0.0
20050106:1911,0.0,0.0,0.0,0.0,0.0,10.02,7.72,0.0
20050106:2011,0.0,0.0,0.0,0.0,0.0,9.49,7.79,0.0
20050106:2111,0.0,0.0,0.0,0.0,0.0,9.49,7.79,0.0
20050106:2211,0.0,0.0,0.0,0.0,0.0,9.49,7.59,0.0
20050106:2311,0.0,0.0,0.0,0.0,0.0,9.49,7.52,0.0
20050107:0011,0.0,0.0,0.0,0.0,0.0,10.02,7.31,0.0
