Latitude (decimal degrees):	55.953
Longitude (decimal degrees):	-3.188
Elevation (m):	65
Radiation database:	PVGIS-SARAH2


Slope: 56 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	0.7
System losses (%):	0.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050101:0011,0.0,0.0,0.0,0.0,0.0,6.89,5.79,0.0
20050101:0111,0.0,0.0,0.0,0.0,0.0,6.91,5.66,0.0
20050101:0211,0.0,0.0,0.0,0.0,0.0,6.85,5.79,0.0
20050101:0311,0.0,0.0,0.0,0.0,0.0,6.8,5.86,0.0
20050101:0411,0.0,0.0,0.0,0.0,0.0,6.36,5.72,0.0
20050101:0511,0.0,0.0,0.0,0.0,0.0,6.14,5.59,0.0
20050101:0611,0.0,0.0,0.0,0.0,0.0,5.83,5.38,0.0
20050101:0711,0.0,0.0,0.0,0.0,0.0,6.44,6.07,0.0
20050101:0811,0.0,0.0,0.0,0.0,0.0,6.4,6.34,0.0
20050101:0911,0.0,0.0,0.0,0.0,0.0,6.48,6.76,0.0
20050101:1011,0.0,0.0,3.89,0.22,6.7,7.24,8.28,0.0
20050101:1111,3.52,0.0,14.02,0.79,9.84,8.02,8.97,0.0
20050101:1211,5.46,0.0,17.91,1.01,11.03,8.3,9.1,0.0
20050101:1311,1.75,0.0,10.13,0.57,10.18,8.18,8.97,0.0
20050101:1411,0.83,0.0,7.79,0.44,7.35,7.84,8.48,0.0
20050101:1511,0.0,0.0,3.12,0.18,2.77,7.68,8.0,0.0
20050101:1611,0.0,0.0,0.0,0.0,0.0,4.71,9.1,0.0
20050101:1711,0.0,0.0,0.0,0.0,0.0,3.0,6.97,0.0
20050101:1811,0.0,0.0,0.0,0.0,0.0,2.59,6.34,0.0
20050101:1911,0.0,0.0,0.0,0.0,0.0,2.93,7.66,0.0
20050101:2011,0.0,0.0,0.0,0.0,0.0,2.55,8.14,0.0
20050101:2111,0.0,0.0,0.0,0.0,0.0,2.0,8.41,0.0
20050101:2211,0.0,0.0,0.0,0.0,0.0,2.06,8.0,0.0
20050101:2311,0.0,0.0,0.0,0.0,0.0,1.91,8.14,0.0
20050102:0011,0.0,0.0,0.0,0.0,0.0,1.78,7.93,0.0
20050102:0111,0.0,0.0,0.0,0.0,0.0,1.75,8.14,0.0
20050102:0211,0.0,0.0,0.0,0.0,0.0,1.71,8.21,0.0
20050102:0311,0.0,0.0,0.0,0.0,0.0,1.53,8.07,0.0
20050102:0411,0.0,0.0,0.0,0.0,0.0,1.61,7.72,0.0
20050102:0511,0.0,0.0,0.0,0.0,0.0,1.75,7.93,0.0
20050102:0611,0.0,0.0,0.0,0.0,0.0,1.71,8.0,0.0
20050102:0711,0.0,0.0,0.0,0.0,0.0,1.96,7.59,0.0
20050102:0811,0.0,0.0,0.0,0.0,0.0,2.2,7.66,0.0
20050102:0911,0.0,0.0,0.0,0.0,0.0,2.23,7.66,0.0
20050102:1011,53.19,53.48,37.7,1.89,6.76,2.33,7.52,0.0
20050102:1111,19.48,5.14,35.91,2.02,9.91,2.83,7.52,0.0
20050102:1211,11.38,0.0,28.04,1.58,11.12,3.32,7.52,0.0
20050102:1311,148.03,125.45,98.24,4.62,10.27,3.53,7.66,0.0
20050102:1411,90.34,74.73,69.27,3.17,7.46,3.57,7.72,0.0
20050102:1511,12.09,13.23,16.38,0.88,2.89,3.33,7.93,0.0
20050102:1611,0.0,0.0,0.0,0.0,0.0,2.94,7.59,0.0
20050102:1711,0.0,0.0,0.0,0.0,0.0,2.76,7.52,0.0
20050102:1811,0.0,0.0,0.0,0.0,0.0,2.88,7.17,0.0
20050102:1911,0.0,0.0,0.0,0.0,0.0,3.52,6.83,0.0
20050102:2011,0.0,0.0,0.0,0.0,0.0,3.68,6.69,0.0
20050102:2111,0.0,0.0,0.0,0.0,0.0,3.84,6.9,0.0
20050102:2211,0.0,0.0,0.0,0.0,0.0,3.94,6.83,0.0
20050102:2311,0.0,0.0,0.0,0.0,0.0,4.31,6.76,0.0
20050103:0011,0.0,0.0,0.0,0.0,0.0,4.69,6.55,0.0
20050103:0111,0.0,0.0,0.0,0.0,0.0,4.83,6.21,0.0
20050103:0211,0.0,0.0,0.0,0.0,0.0,5.02,5.93,0.0
20050103:0311,0.0,0.0,0.0,0.0,0.0,5.19,5.86,0.0
20050103:0411,0.0,0.0,0.0,0.0,0.0,5.34,5.66,0.0
20050103:0511,0.0,0.0,0.0,0.0,0.0,5.63,5.59,0.0
20050103:0611,0.0,0.0,0.0,0.0,0.0,6.03,5.52,0.0
20050103:0711,0.0,0.0,0.0,0.0,0.0,6.44,5.72,0.0
20050103:0811,0.0,0.0,0.0,0.0,0.0,6.78,6.41,0.0
20050103:0911,0.0,0.0,0.0,0.0,0.0,6.89,6.41,0.0
20050103:1011,3.92,0.0,14.8,0.84,6.82,6.92,6.55,0.0
20050103:1111,1.77,0.0,10.13,0.57,9.98,6.99,6.76,0.0
20050103:1211,2.1,0.0,10.9,0.62,11.21,7.13,7.03,0.0
20050103:1311,4.69,0.0,16.36,0.92,10.38,7.33,7.38,0.0
20050103:1411,0.83,0.0,7.79,0.44,7.57,7.52,7.59,0.0
20050103:1511,0.0,0.0,4.67,0.26,3.01,7.63,7.52,0.0
20050103:1611,0.0,0.0,0.0,0.0,0.0,7.59,7.45,0.0
20050103:1711,0.0,0.0,0.0,0.0,0.0,7.7,7.24,0.0
20050103:1811,0.0,0.0,0.0,0.0,0.0,7.77,7.03,0.0
20050103:1911,0.0,0.0,0.0,0.0,0.0,8.14,7.59,0.0
20050103:2011,0.0,0.0,0.0,0.0,0.0,8.09,7.72,0.0
20050103:2111,0.0,0.0,0.0,0.0,0.0,8.07,7.93,0.0
20050103:2211,0.0,0.0,0.0,0.0,0.0,8.08,7.86,0.0
20050103:2311,0.0,0.0,0.0,0.0,0.0,8.09,7.86,0.0
20050104:0011,0.0,0.0,0.0,0.0,0.0,8.08,8.07,0.0
20050104:0111,0.0,0.0,0.0,0.0,0.0,8.13,8.21,0.0
20050104:0211,0.0,0.0,0.0,0.0,0.0,8.2,8.34,0.0
20050104:0311,0.0,0.0,0.0,0.0,0.0,8.26,8.55,0.0
20050104:0411,0.0,0.0,0.0,0.0,0.0,8.33,8.97,0.0
20050104:0511,0.0,0.0,0.0,0.0,0.0,8.5,9.72,0.0
20050104:0611,0.0,0.0,0.0,0.0,0.0,8.67,10.48,0.0
20050104:0711,0.0,0.0,0.0,0.0,0.0,8.89,10.9,0.0
20050104:0811,0.0,0.0,0.0,0.0,0.0,8.28,9.93,0.0
20050104:0911,0.0,0.0,0.0,0.0,0.0,6.75,8.9,0.0
20050104:1011,17.02,13.11,24.67,1.36,6.88,5.55,7.72,0.0
20050104:1111,109.71,96.08,75.73,3.78,10.07,5.32,7.24,0.0
20050104:1211,370.86,409.12,136.06,6.69,11.31,5.16,7.31,0.0
20050104:1311,257.49,251.21,129.17,5.68,10.49,4.93,6.83,0.0
20050104:1411,205.08,199.8,106.62,4.14,7.7,4.73,6.97,0.0
20050104:1511,114.19,134.31,45.39,1.72,3.14,4.45,6.76,0.0
20050104:1611,0.0,0.0,0.0,0.0,0.0,3.98,6.69,0.0
20050104:1711,0.0,0.0,0.0,0.0,0.0,3.63,6.76,0.0
20050104:1811,0.0,0.0,0.0,0.0,0.0,3.52,6.9,0.0
20050104:1911,0.0,0.0,0.0,0.0,0.0,4.04,6.9,0.0
20050104:2011,0.0,0.0,0.0,0.0,0.0,4.11,6.97,0.0
20050104:2111,0.0,0.0,0.0,0.0,0.0,4.15,7.03,0.0
20050104:2211,0.0,0.0,0.0,0.0,0.0,4.15,7.03,0.0
20050104:2311,0.0,0.0,0.0,0.0,0.0,4.17,6.69,0.0
20050105:0011,0.0,0.0,0.0,0.0,0.0,4.28,6.55,0.0
20050105:0111,0.0,0.0,0.0,0.0,0.0,4.32,6.69,0.0
20050105:0211,0.0,0.0,0.0,0.0,0.0,4.33,6.69,0.0
20050105:0311,0.0,0.0,0.0,0.0,0.0,4.39,6.69,0.0
20050105:0411,0.0,0.0,0.0,0.0,0.0,4.39,6.83,0.0
20050105:0511,0.0,0.0,0.0,0.0,0.0,4.54,6.9,0.0
20050105:0611,0.0,0.0,0.0,0.0,0.0,4.61,6.9,0.0
20050105:0711,0.0,0.0,0.0,0.0,0.0,4.83,7.17,0.0
20050105:0811,0.0,0.0,0.0,0.0,0.0,5.02,7.38,0.0
20050105:0911,0.0,0.0,0.0,0.0,0.0,5.33,8.07,0.0
20050105:1011,17.43,12.97,25.47,1.41,6.96,5.67,8.76,0.0
20050105:1111,3.19,0.0,13.24,0.75,10.16,5.87,9.45,0.0
20050105:1211,3.95,0.0,14.8,0.84,11.41,5.8,9.79,0.0
20050105:1311,3.19,0.0,13.24,0.75,10.61,5.8,9.93,0.0
20050105:1411,0.85,0.0,7.79,0.44,7.83,5.7,9.1,0.0
20050105:1511,205.97,246.24,64.88,2.16,3.28,6.01,8.28,0.0
20050105:1611,0.0,0.0,0.0,0.0,0.0,5.93,7.59,0.0
20050105:1711,0.0,0.0,0.0,0.0,0.0,5.32,6.83,0.0
20050105:1811,0.0,0.0,0.0,0.0,0.0,4.59,6.41,0.0
20050105:1911,0.0,0.0,0.0,0.0,0.0,4.67,6.62,0.0
20050105:2011,0.0,0.0,0.0,0.0,0.0,4.29,6.69,0.0
20050105:2111,0.0,0.0,0.0,0.0,0.0,4.0,6.62,0.0
20050105:2211,0.0,0.0,0.0,0.0,0.0,3.93,6.83,0.0
20050105:2311,0.0,0.0,0.0,0.0,0.0,3.78,6.62,0.0
20050106:0011,0.0,0.0,0.0,0.0,0.0,3.63,6.55,0.0
20050106:0111,0.0,0.0,0.0,0.0,0.0,3.54,6.41,0.0
20050106:0211,0.0,0.0,0.0,0.0,0.0,3.62,6.21,0.0
20050106:0311,0.0,0.0,0.0,0.0,0.0,3.67,6.07,0.0
20050106:0411,0.0,0.0,0.0,0.0,0.0,3.74,6.14,0.0
20050106:0511,0.0,0.0,0.0,0.0,0.0,3.76,6.14,0.0
20050106:0611,0.0,0.0,0.0,0.0,0.0,4.04,6.07,0.0
