Latitude (decimal degrees):	53.408
Longitude (decimal degrees):	-2.992
Elevation (m):	31
Radiation database:	PVGIS-SARAH2


Slope: 53 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	0.7
System losses (%):	0.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050101:0011,0.0,0.0,0.0,0.0,0.0,7.0,4.41,0.0
20050101:0111,0.0,0.0,0.0,0.0,0.0,6.97,4.48,0.0
20050101:0211,0.0,0.0,0.0,0.0,0.0,6.95,4.83,0.0
20050101:0311,0.0,0.0,0.0,0.0,0.0,7.12,5.03,0.0
20050101:0411,0.0,0.0,0.0,0.0,0.0,7.33,5.03,0.0
20050101:0511,0.0,0.0,0.0,0.0,0.0,7.68,4.97,0.0
20050101:0611,0.0,0.0,0.0,0.0,0.0,7.64,4.9,0.0
20050101:0711,0.0,0.0,0.0,0.0,0.0,8.1,5.38,0.0
20050101:0811,0.0,0.0,0.0,0.0,0.0,8.4,5.38,0.0
20050101:0911,0.0,0.0,0.0,0.0,0.0,8.59,5.72,0.0
20050101:1011,41.57,30.3,46.01,2.26,8.98,8.77,6.48,0.0
20050101:1111,5.19,0.0,17.53,0.89,12.32,8.97,7.17,0.0
20050101:1211,3.6,0.0,14.35,0.73,13.58,9.43,7.79,0.0
20050101:1311,5.56,0.0,18.33,0.93,12.63,10.15,8.34,0.0
20050101:1411,2.83,0.0,12.75,0.65,9.58,10.71,8.83,0.0
20050101:1511,0.06,0.0,5.58,0.28,4.66,10.75,10.14,0.0
20050101:1611,0.0,0.0,0.0,0.0,0.0,9.57,13.1,0.0
20050101:1711,0.0,0.0,0.0,0.0,0.0,7.54,11.52,0.0
20050101:1811,0.0,0.0,0.0,0.0,0.0,6.34,11.52,0.0
20050101:1911,0.0,0.0,0.0,0.0,0.0,6.09,11.66,0.0
20050101:2011,0.0,0.0,0.0,0.0,0.0,5.46,12.0,0.0
20050101:2111,0.0,0.0,0.0,0.0,0.0,4.94,12.14,0.0
20050101:2211,0.0,0.0,0.0,0.0,0.0,5.24,11.31,0.0
20050101:2311,0.0,0.0,0.0,0.0,0.0,5.35,11.31,0.0
20050102:0011,0.0,0.0,0.0,0.0,0.0,5.33,11.1,0.0
20050102:0111,0.0,0.0,0.0,0.0,0.0,5.39,11.03,0.0
20050102:0211,0.0,0.0,0.0,0.0,0.0,5.18,11.03,0.0
20050102:0311,0.0,0.0,0.0,0.0,0.0,5.03,10.9,0.0
20050102:0411,0.0,0.0,0.0,0.0,0.0,4.84,10.55,0.0
20050102:0511,0.0,0.0,0.0,0.0,0.0,4.64,10.28,0.0
20050102:0611,0.0,0.0,0.0,0.0,0.0,4.57,10.41,0.0
20050102:0711,0.0,0.0,0.0,0.0,0.0,5.17,10.07,0.0
20050102:0811,0.0,0.0,0.0,0.0,0.0,5.09,10.0,0.0
20050102:0911,0.0,0.0,0.0,0.0,0.0,5.15,9.72,0.0
20050102:1011,2.57,0.0,11.96,0.61,9.03,5.43,9.79,0.0
20050102:1111,110.99,82.46,91.04,4.36,12.39,5.64,10.07,0.0
20050102:1211,6.12,0.0,19.13,0.97,13.66,6.0,10.0,0.0
20050102:1311,94.44,56.81,93.69,4.52,12.73,6.05,10.21,0.0
20050102:1411,26.65,4.79,48.08,2.42,9.69,6.25,10.41,0.0
20050102:1511,218.35,238.98,89.62,2.83,4.79,6.31,10.21,0.0
20050102:1611,0.0,0.0,0.0,0.0,0.0,6.22,9.59,0.0
20050102:1711,0.0,0.0,0.0,0.0,0.0,6.2,9.52,0.0
20050102:1811,0.0,0.0,0.0,0.0,0.0,6.51,9.45,0.0
20050102:1911,0.0,0.0,0.0,0.0,0.0,6.74,9.1,0.0
20050102:2011,0.0,0.0,0.0,0.0,0.0,6.77,8.9,0.0
20050102:2111,0.0,0.0,0.0,0.0,0.0,6.58,8.55,0.0
20050102:2211,0.0,0.0,0.0,0.0,0.0,6.73,8.48,0.0
20050102:2311,0.0,0.0,0.0,0.0,0.0,6.78,8.41,0.0
20050103:0011,0.0,0.0,0.0,0.0,0.0,6.97,8.41,0.0
20050103:0111,0.0,0.0,0.0,0.0,0.0,7.13,8.34,0.0
20050103:0211,0.0,0.0,0.0,0.0,0.0,7.29,8.28,0.0
20050103:0311,0.0,0.0,0.0,0.0,0.0,7.41,7.86,0.0
20050103:0411,0.0,0.0,0.0,0.0,0.0,7.48,7.31,0.0
20050103:0511,0.0,0.0,0.0,0.0,0.0,7.52,6.83,0.0
20050103:0611,0.0,0.0,0.0,0.0,0.0,7.46,6.28,0.0
20050103:0711,0.0,0.0,0.0,0.0,0.0,7.71,6.41,0.0
20050103:0811,0.0,0.0,0.0,0.0,0.0,7.73,6.41,0.0
20050103:0911,0.0,0.0,0.0,0.0,0.0,7.75,6.41,0.0
20050103:1011,89.81,84.76,61.4,2.87,9.09,7.98,6.34,0.0
20050103:1111,27.23,4.1,50.14,2.54,12.46,8.49,6.55,0.0
20050103:1211,15.58,0.0,35.87,1.82,13.75,9.1,6.07,0.0
20050103:1311,8.14,0.0,23.11,1.17,12.84,9.52,6.0,0.0
20050103:1411,63.14,37.96,70.31,3.35,9.81,9.68,6.9,0.0
20050103:1511,1.16,0.0,8.77,0.44,4.91,9.53,6.83,0.0
20050103:1611,0.0,0.0,0.0,0.0,0.0,9.22,6.48,0.0
20050103:1711,0.0,0.0,0.0,0.0,0.0,8.97,6.48,0.0
20050103:1811,0.0,0.0,0.0,0.0,0.0,8.91,6.62,0.0
20050103:1911,0.0,0.0,0.0,0.0,0.0,8.82,7.38,0.0
20050103:2011,0.0,0.0,0.0,0.0,0.0,8.69,7.59,0.0
20050103:2111,0.0,0.0,0.0,0.0,0.0,8.57,7.86,0.0
20050103:2211,0.0,0.0,0.0,0.0,0.0,8.6,7.86,0.0
20050103:2311,0.0,0.0,0.0,0.0,0.0,8.58,7.79,0.0
20050104:0011,0.0,0.0,0.0,0.0,0.0,8.65,7.86,0.0
20050104:0111,0.0,0.0,0.0,0.0,0.0,8.67,8.0,0.0
20050104:0211,0.0,0.0,0.0,0.0,0.0,8.75,8.28,0.0
20050104:0311,0.0,0.0,0.0,0.0,0.0,8.89,8.76,0.0
20050104:0411,0.0,0.0,0.0,0.0,0.0,8.91,9.03,0.0
20050104:0511,0.0,0.0,0.0,0.0,0.0,9.09,9.24,0.0
20050104:0611,0.0,0.0,0.0,0.0,0.0,9.45,9.45,0.0
20050104:0711,0.0,0.0,0.0,0.0,0.0,9.68,9.86,0.0
20050104:0811,0.0,0.0,0.0,0.0,0.0,9.86,9.79,0.0
20050104:0911,0.0,0.0,0.0,0.0,0.0,9.95,9.59,0.0
20050104:1011,10.37,0.0,27.1,1.37,9.15,9.55,8.69,0.0
20050104:1111,9.96,0.0,26.3,1.33,12.55,8.92,8.21,0.0
20050104:1211,497.03,616.17,128.8,8.68,13.85,8.24,7.93,0.0
20050104:1311,433.19,491.86,155.53,7.92,12.96,8.15,7.66,0.0
20050104:1411,326.07,342.67,144.76,5.82,9.93,7.96,7.24,0.0
20050104:1511,315.6,372.11,102.94,3.35,5.05,7.44,6.9,0.0
20050104:1611,0.0,0.0,0.0,0.0,0.0,7.03,6.76,0.0
20050104:1711,0.0,0.0,0.0,0.0,0.0,6.63,6.55,0.0
20050104:1811,0.0,0.0,0.0,0.0,0.0,6.39,6.41,0.0
20050104:1911,0.0,0.0,0.0,0.0,0.0,6.42,6.14,0.0
20050104:2011,0.0,0.0,0.0,0.0,0.0,6.21,6.21,0.0
20050104:2111,0.0,0.0,0.0,0.0,0.0,6.17,6.55,0.0
20050104:2211,0.0,0.0,0.0,0.0,0.0,6.2,6.14,0.0
20050104:2311,0.0,0.0,0.0,0.0,0.0,6.1,5.45,0.0
20050105:0011,0.0,0.0,0.0,0.0,0.0,5.98,5.38,0.0
20050105:0111,0.0,0.0,0.0,0.0,0.0,5.93,5.31,0.0
20050105:0211,0.0,0.0,0.0,0.0,0.0,5.94,5.17,0.0
20050105:0311,0.0,0.0,0.0,0.0,0.0,6.05,5.17,0.0
20050105:0411,0.0,0.0,0.0,0.0,0.0,6.17,4.83,0.0
