Latitude (decimal degrees):	50.910
Longitude (decimal degrees):	-1.404
Elevation (m):	19
Radiation database:	PVGIS-SARAH2


Slope: 51 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	0.5
System losses (%):	0.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050101:0010,0.0,0.0,0.0,0.0,0.0,6.31,2.97,0.0
20050101:0110,0.0,0.0,0.0,0.0,0.0,5.78,2.9,0.0
20050101:0210,0.0,0.0,0.0,0.0,0.0,5.78,2.97,0.0
20050101:0310,0.0,0.0,0.0,0.0,0.0,5.78,3.03,0.0
20050101:0410,0.0,0.0,0.0,0.0,0.0,6.31,3.1,0.0
20050101:0510,0.0,0.0,0.0,0.0,0.0,6.84,3.17,0.0
20050101:0610,0.0,0.0,0.0,0.0,0.0,7.37,3.24,0.0
20050101:0710,0.0,0.0,0.0,0.0,0.0,7.37,3.1,0.0
20050101:0810,0.0,0.0,0.0,0.0,0.0,7.9,3.38,0.0
20050101:0910,0.0,0.0,4.07,0.18,6.34,8.43,3.72,0.0
20050101:1010,32.51,19.86,57.7,2.62,11.63,8.96,4.14,0.0
20050101:1110,26.56,3.45,62.49,2.84,14.98,9.49,4.76,0.0
20050101:1210,56.87,26.58,97.54,4.43,16.08,10.02,5.79,0.0
20050101:1310,9.94,0.0,31.76,1.44,14.83,10.55,6.76,0.0
20050101:1410,19.53,0.0,52.12,2.36,11.35,11.09,9.1,0.0
20050101:1510,38.16,37.39,52.36,2.07,5.94,11.09,9.93,0.0
20050101:1610,0.0,0.0,0.0,0.0,0.0,11.09,10.21,0.0
20050101:1710,0.0,0.0,0.0,0.0,0.0,11.61,10.21,0.0
20050101:1810,0.0,0.0,0.0,0.0,0.0,11.09,10.34,0.0
20050101:1910,0.0,0.0,0.0,0.0,0.0,10.55,8.9,0.0
20050101:2010,0.0,0.0,0.0,0.0,0.0,8.96,8.34,0.0
20050101:2110,0.0,0.0,0.0,0.0,0.0,8.43,8.14,0.0
20050101:2210,0.0,0.0,0.0,0.0,0.0,7.37,7.66,0.0
20050101:2310,0.0,0.0,0.0,0.0,0.0,6.84,7.24,0.0
20050102:0010,0.0,0.0,0.0,0.0,0.0,6.31,7.1,0.0
20050102:0110,0.0,0.0,0.0,0.0,0.0,6.31,6.76,0.0
20050102:0210,0.0,0.0,0.0,0.0,0.0,5.78,6.48,0.0
20050102:0310,0.0,0.0,0.0,0.0,0.0,5.78,6.41,0.0
20050102:0410,0.0,0.0,0.0,0.0,0.0,5.78,6.41,0.0
20050102:0510,0.0,0.0,0.0,0.0,0.0,5.25,6.21,0.0
20050102:0610,0.0,0.0,0.0,0.0,0.0,5.25,6.0,0.0
20050102:0710,0.0,0.0,0.0,0.0,0.0,4.72,5.72,0.0
20050102:0810,0.0,0.0,0.0,0.0,0.0,4.72,5.66,0.0
20050102:0910,43.1,64.97,32.12,1.4,6.37,4.72,5.66,0.0
20050102:1010,225.32,332.1,102.9,5.21,11.68,5.78,5.79,0.0
20050102:1110,318.11,477.15,139.87,7.87,15.05,6.31,5.45,0.0
20050102:1210,389.34,621.88,142.85,9.46,16.17,7.37,5.72,0.0
20050102:1310,368.02,561.8,158.46,8.83,14.93,7.9,6.55,0.0
20050102:1410,322.3,479.78,149.47,6.87,11.46,7.9,6.69,0.0
20050102:1510,61.78,67.34,66.11,2.4,6.07,7.37,6.21,0.0
20050102:1610,0.0,0.0,0.0,0.0,0.0,6.84,5.93,0.0
20050102:1710,0.0,0.0,0.0,0.0,0.0,6.31,5.72,0.0
20050102:1810,0.0,0.0,0.0,0.0,0.0,5.78,5.38,0.0
20050102:1910,0.0,0.0,0.0,0.0,0.0,5.25,5.38,0.0
20050102:2010,0.0,0.0,0.0,0.0,0.0,5.25,5.24,0.0
20050102:2110,0.0,0.0,0.0,0.0,0.0,4.72,5.03,0.0
20050102:2210,0.0,0.0,0.0,0.0,0.0,4.72,4.83,0.0
20050102:2310,0.0,0.0,0.0,0.0,0.0,4.72,4.62,0.0
20050103:0010,0.0,0.0,0.0,0.0,0.0,4.72,4.48,0.0
20050103:0110,0.0,0.0,0.0,0.0,0.0,4.72,4.48,0.0
20050103:0210,0.0,0.0,0.0,0.0,0.0,4.72,4.48,0.0
20050103:0310,0.0,0.0,0.0,0.0,0.0,4.72,4.62,0.0
20050103:0410,0.0,0.0,0.0,0.0,0.0,5.25,4.83,0.0
20050103:0510,0.0,0.0,0.0,0.0,0.0,5.25,4.97,0.0
20050103:0610,0.0,0.0,0.0,0.0,0.0,5.25,5.03,0.0
20050103:0710,0.0,0.0,0.0,0.0,0.0,5.78,5.31,0.0
20050103:0810,0.0,0.0,0.0,0.0,0.0,6.31,5.24,0.0
20050103:0910,28.4,41.05,28.35,1.26,6.41,6.31,5.31,0.0
20050103:1010,169.58,228.14,104.56,4.73,11.74,7.37,5.52,0.0
20050103:1110,158.22,177.67,135.11,6.02,15.12,8.43,4.76,0.0
20050103:1210,299.59,418.04,171.75,8.46,16.26,9.49,5.24,0.0
20050103:1310,84.62,61.67,114.63,5.1,15.04,10.02,5.24,0.0
20050103:1410,113.49,114.96,116.24,4.77,11.59,10.02,4.83,0.0
20050103:1510,0.48,0.0,7.33,0.33,6.2,9.49,5.1,0.0
20050103:1610,0.0,0.0,0.0,0.0,0.0,8.96,5.1,0.0
20050103:1710,0.0,0.0,0.0,0.0,0.0,8.43,5.17,0.0
20050103:1810,0.0,0.0,0.0,0.0,0.0,8.43,5.38,0.0
20050103:1910,0.0,0.0,0.0,0.0,0.0,8.43,6.28,0.0
20050103:2010,0.0,0.0,0.0,0.0,0.0,8.43,6.48,0.0
20050103:2110,0.0,0.0,0.0,0.0,0.0,8.43,6.62,0.0
20050103:2210,0.0,0.0,0.0,0.0,0.0,8.43,6.83,0.0
20050103:2310,0.0,0.0,0.0,0.0,0.0,8.43,6.97,0.0
20050104:0010,0.0,0.0,0.0,0.0,0.0,8.43,7.03,0.0
20050104:0110,0.0,0.0,0.0,0.0,0.0,8.43,7.24,0.0
