site,rate,solar_p10,solar_p50,solar_p90,diesel_p10,diesel_p50,diesel_p90,ratio_p10,ratio_p50,ratio_p90,p_solar_beats_diesel
Southampton,5%,5.092,6.442,8.068,18.007,25.270,34.390,3.456,3.934,4.348,1.000
Birmingham,5%,5.358,6.740,8.384,18.007,25.270,34.390,3.268,3.762,4.196,1.000
Liverpool,5%,5.591,6.991,8.656,18.007,25.270,34.390,3.125,3.627,4.074,1.000
Edinburgh,5%,5.747,7.160,8.841,18.007,25.270,34.390,3.035,3.543,3.997,1.000
Southampton,8%,5.682,7.084,8.755,18.743,26.008,35.196,3.204,3.684,4.118,1.000
Birmingham,8%,6.022,7.451,9.156,18.743,26.008,35.196,3.017,3.504,3.952,1.000
Liverpool,8%,6.318,7.782,9.506,18.743,26.008,35.196,2.862,3.355,3.815,1.000
Edinburgh,8%,6.494,7.981,9.715,18.743,26.008,35.196,2.781,3.272,3.736,1.000
Southampton,"r~U(3,10)%",5.301,6.768,8.551,18.464,25.784,35.296,3.302,3.820,4.292,1.000
Birmingham,"r~U(3,10)%",5.587,7.093,8.930,18.464,25.784,35.296,3.116,3.647,4.136,1.000
Liverpool,"r~U(3,10)%",5.833,7.384,9.273,18.464,25.784,35.296,2.963,3.502,4.011,1.000
Edinburgh,"r~U(3,10)%",5.995,7.560,9.484,18.464,25.784,35.296,2.880,3.419,3.933,1.000
