pv_wp,battery_kwh,cost_index,years_ok_study,mean_study,max_study,years_ok_pvgis,mean_pvgis,max_pvgis
100.0,0.75,8578.612765071404,0,35.93131269181825,40.98173515981735,0,37.00365078473938,41.9406392694064
100.0,1.0,8857.94971125876,0,34.99949706190583,40.136986301369866,0,36.051830694662776,41.073059360730596
100.0,1.25,9137.286657446113,0,34.401298983831126,39.53196347031964,0,35.44937713651221,40.52511415525114
100.0,1.5,9416.623603633467,0,33.92507119108217,38.97260273972603,0,35.021610743069594,39.965753424657535
100.0,1.75,9695.960549820822,0,33.60563337450408,38.3675799086758,0,34.71929621416274,39.39497716894977
100.0,2.0,9975.297496008174,0,33.35821122464256,37.853881278538815,0,34.50463911657559,38.91552511415525
100.0,2.25,10254.63444219553,0,33.181352459016395,37.52283105022831,0,34.34344940676697,38.573059360730596
100.0,2.5,10533.971388382883,0,33.038714926890734,37.27168949771689,0,34.22935653554407,38.42465753424658
100.0,2.75,10813.308334570236,0,32.934596994535525,37.1689497716895,0,34.13449422361953,38.28767123287671
100.0,3.0,11092.645280757592,0,32.83971713825885,37.009132420091326,0,34.0496146480525,38.13926940639269
100.0,3.25,11371.982226944943,0,32.73914511440477,36.84931506849315,0,33.962590762781645,38.013698630136986
100.0,3.5,11651.319173132299,0,32.65497121166754,36.70091324200913,0,33.88198421164259,37.87671232876713
100.0,3.75,11930.656119319654,0,32.56651843638496,36.598173515981735,0,33.81350860530978,37.75114155251141
100.0,4.0,12209.993065507006,0,32.49305633530454,36.47260273972603,0,33.75930240536967,37.773972602739725
100.0,5.0,13327.340850256423,0,32.347576618135086,36.47260273972603,0,33.65877911582703,37.78538812785388
100.0,7.0,15562.036419755255,0,32.21287693065848,36.518264840182646,0,33.57687428263094,37.84246575342466
100.0,10.0,18914.079774003505,0,32.203089131546776,36.65525114155251,0,33.58705195623425,37.922374429223744
150.0,0.75,8803.612765071404,0,18.93141055031564,23.41324200913242,0,20.197639076028644,25.079908675799086
150.0,1.0,9082.94971125876,0,17.581828807670234,21.894977168949772,0,18.68835304538763,23.458904109589042
150.0,1.25,9362.286657446113,0,16.814000237043693,21.06164383561644,0,17.802854505077725,22.408675799086758
150.0,1.5,9641.623603633467,0,16.348474499089257,20.67351598173516,0,17.234672864111587,22.04337899543379
150.0,1.75,9920.960549820822,0,16.055479919904183,20.445205479452056,0,16.88178576552636,21.746575342465754
150.0,2.0,10200.297496008174,0,15.815211966963595,20.136986301369863,0,16.618018127604362,21.461187214611872
150.0,2.25,10479.63444219553,0,15.61703096539162,19.97716894977169,0,16.39703726576341,21.3013698630137
150.0,2.5,10758.971388382883,0,15.435209097487338,19.817351598173516,0,16.221661972577788,21.164383561643834
150.0,2.75,11038.308334570236,0,15.254129940489557,19.65753424657534,0,16.0277442485715,21.038812785388128
150.0,3.0,11317.645280757592,0,15.095846745015844,19.554794520547944,0,15.86876902587519,20.89041095890411
150.0,3.25,11596.982226944943,0,14.944698252738478,19.41780821917808,0,15.709778208199218,20.707762557077626
150.0,3.5,11876.319173132299,0,14.80212894864885,19.269406392694062,0,15.567908728822019,20.605022831050228
150.0,3.75,12155.656119319654,0,14.653844084512315,19.086757990867582,0,15.42746619008409,20.47945205479452
150.0,4.0,12434.993065507006,0,14.515534159243456,18.961187214611872,0,15.289167961049978,20.34246575342466
150.0,5.0,13552.340850256423,0,13.983643985328243,18.39041095890411,0,14.758722272126157,19.828767123287673
150.0,7.0,15787.036419755255,0,12.96124491603663,17.340182648401825,0,13.744867302318037,18.77853881278539
150.0,10.0,19139.079774003505,0,11.448294065174538,15.856164383561644,0,12.246885682561071,17.271689497716896
200.0,0.75,9028.612765071404,0,11.841285603338573,14.942922374429223,0,13.195947410609577,16.974885844748858
200.0,1.0,9307.94971125876,0,10.125945055767648,13.150684931506849,0,11.25887159405644,14.531963470319633
200.0,1.25,9587.286657446113,0,9.147765551313721,12.442922374429223,0,10.144569360231554,13.573059360730594
200.0,1.5,9866.623603633467,0,8.526757866107744,12.089041095890412,0,9.449444584799263,13.116438356164384
200.0,1.75,10145.960549820822,0,8.086866375976246,11.78082191780822,0,8.943249089253188,12.842465753424658
200.0,2.0,10425.297496008174,0,7.762496647079372,11.518264840182649,0,8.598198467949198,12.54566210045662
200.0,2.25,10704.63444219553,0,7.522248187863363,11.187214611872145,0,8.3158942473239,12.30593607305936
200.0,2.5,10983.971388382883,0,7.328381147540983,11.050228310502282,0,8.101297580282957,12.089041095890412
200.0,2.75,11263.308334570236,0,7.183665584375078,10.947488584474886,0,7.925220513012452,11.974885844748858
200.0,3.0,11542.645280757592,0,7.031094050203358,10.821917808219178,0,7.783341286772962,11.849315068493151
200.0,3.25,11821.982226944943,0,6.888493556154403,10.662100456621005,0,7.645015766524441,11.735159817351597
200.0,3.5,12101.319173132299,0,6.754443009706316,10.536529680365298,0,7.509548026299374,11.598173515981735
200.0,3.75,12380.656119319654,0,6.611840566284902,10.388127853881278,0,7.378347462384909,11.461187214611872
200.0,4.0,12659.993065507006,0,6.48707098210944,10.23972602739726,0,7.250727895675824,11.34703196347032
