site,design,model,year,lolp_pct,unmet_hours
Southampton,tmy,study,2005,1.4383561643835616,126
Southampton,tmy,study,2006,2.1689497716894977,190
Southampton,tmy,study,2007,0.8904109589041096,78
Southampton,tmy,study,2008,2.3224043715846996,204
Southampton,tmy,study,2009,0.7420091324200913,65
Southampton,tmy,study,2010,1.2100456621004567,106
Southampton,tmy,study,2011,1.5639269406392695,137
Southampton,tmy,study,2012,0.6944444444444444,61
Southampton,tmy,study,2013,1.9634703196347032,172
Southampton,tmy,study,2014,0.31963470319634707,28
Southampton,tmy,study,2015,1.2899543378995433,113
Southampton,tmy,study,2016,1.0018214936247722,88
Southampton,tmy,study,2017,1.9178082191780823,168
Southampton,tmy,study,2018,0.5365296803652968,47
Southampton,tmy,study,2019,0.9360730593607305,82
Southampton,tmy,study,2020,1.0245901639344261,90
Southampton,tmy,pvgis,2005,2.1118721461187215,185
Southampton,tmy,pvgis,2006,3.116438356164384,273
Southampton,tmy,pvgis,2007,1.7009132420091322,149
Southampton,tmy,pvgis,2008,3.6657559198542806,322
Southampton,tmy,pvgis,2009,0.9931506849315069,87
Southampton,tmy,pvgis,2010,1.9863013698630139,174
Southampton,tmy,pvgis,2011,2.5570776255707766,224
Southampton,tmy,pvgis,2012,1.5255009107468125,134
Southampton,tmy,pvgis,2013,3.0821917808219177,270
Southampton,tmy,pvgis,2014,0.6621004566210046,58
Southampton,tmy,pvgis,2015,2.328767123287671,204
Southampton,tmy,pvgis,2016,1.6848816029143898,148
Southampton,tmy,pvgis,2017,2.8310502283105023,248
Southampton,tmy,pvgis,2018,1.3470319634703196,118
Southampton,tmy,pvgis,2019,1.7465753424657535,153
Southampton,tmy,pvgis,2020,1.9353369763205828,170
Southampton,final,study,2005,0.6506849315068494,57
Southampton,final,study,2006,0.502283105022831,44
Southampton,final,study,2007,0.05707762557077625,5
Southampton,final,study,2008,0.1935336976320583,17
Southampton,final,study,2009,0.0,0
Southampton,final,study,2010,0.0,0
Southampton,final,study,2011,0.136986301369863,12
Southampton,final,study,2012,0.1935336976320583,17
Southampton,final,study,2013,0.2054794520547945,18
Southampton,final,study,2014,0.0,0
Southampton,final,study,2015,0.0684931506849315,6
Southampton,final,study,2016,0.0,0
Southampton,final,study,2017,0.3424657534246575,30
Southampton,final,study,2018,0.0,0
Southampton,final,study,2019,0.0,0
Southampton,final,study,2020,0.06830601092896176,6
Southampton,final,pvgis,2005,1.0730593607305936,94
Southampton,final,pvgis,2006,0.9246575342465754,81
Southampton,final,pvgis,2007,0.273972602739726,24
Southampton,final,pvgis,2008,0.6147540983606558,54
Southampton,final,pvgis,2009,0.0,0
