pv_w,battery_kwh,lolp,curtailed_kwh,cost_index
100,0.75,0.42397260273972603,2.0883947543394195,8578.612765071404
100,1.0,0.41997716894977166,1.7055734411982217,8857.94971125876
100,1.25,0.4174657534246575,1.3691937098344775,9137.286657446113
100,1.5,0.4138127853881279,1.0336311474970832,9416.623603633467
100,1.75,0.41050228310502285,0.6985954211691108,9695.960549820822
100,2.0,0.4078767123287671,0.44073098211807055,9975.297496008174
100,2.5,0.4050228310502283,0.10578647356151565,10533.971388382883
100,3.0,0.4041095890410959,0.0,11092.645280757592
100,4.0,0.4047945205479452,0.0,12209.993065507006
100,5.0,0.4050228310502283,0.0,13327.340850256423
100,7.0,0.4058219178082192,0.0,15562.036419755255
100,10.0,0.4067351598173516,0.0,18914.079774003505
150,0.75,0.21404109589041095,21.269890934554446,8803.612765071404
150,1.0,0.20684931506849316,20.412300804185996,9082.94971125876
150,1.25,0.2038812785388128,20.0560548063029,9362.286657446113
150,1.5,0.20205479452054795,19.826738690720035,9641.623603633467
150,1.75,0.20068493150684932,19.634534178421138,9920.960549820822
150,2.0,0.19942922374429223,19.442537607886432,10200.297496008174
150,2.5,0.1958904109589041,19.058902379936796,10758.971388382883
150,3.0,0.19337899543378995,18.675608746660103,11317.645280757592
150,4.0,0.18789954337899542,17.91129261894455,12434.993065507006
150,5.0,0.18230593607305937,17.15115090154436,13552.340850256423
150,7.0,0.17191780821917807,15.643385798392725,15787.036419755255
150,10.0,0.15570776255707763,13.409527786085173,19139.079774003505
200,0.75,0.1284246575342466,54.77530450960374,9028.612765071404
200,1.0,0.11484018264840183,53.22442448880863,9307.94971125876
200,1.25,0.10662100456621004,52.182880797008316,9587.286657446113
200,1.5,0.10068493150684932,51.3881850738469,9866.623603633467
200,1.75,0.09680365296803653,50.97159105161698,10145.960549820822
200,2.0,0.0954337899543379,50.7598201437076,10425.297496008174
200,2.5,0.09257990867579909,50.36863062843069,10983.971388382883
200,3.0,0.08995433789954338,49.977630525534366,11542.645280757592
200,4.0,0.08470319634703197,49.19631385278348,12659.993065507006
200,5.0,0.0795662100456621,48.41596660517237,13777.340850256423
