pv_w,battery_kwh,lolp,curtailed_kwh,cost_index
100,1.0,0.4204337899543379,0.7025151813405647,8857.94971125876
100,1.5,0.4149543378995434,0.1222559864179906,9416.623603633467
100,2.0,0.4136986301369863,0.0,9975.297496008174
100,2.5,0.41404109589041094,0.0,10533.971388382883
100,3.0,0.41449771689497716,0.0,11092.645280757592
100,4.0,0.4151826484018265,0.0,12209.993065507006
100,5.0,0.41529680365296806,0.0,13327.340850256423
100,7.0,0.41598173515981735,0.0,15562.036419755255
100,10.0,0.41678082191780824,0.0,18914.079774003505
150,1.0,0.22123287671232877,19.822484189880495,9082.94971125876
150,1.5,0.21210045662100457,18.615660991452273,9641.623603633467
150,2.0,0.20776255707762556,18.06232497271775,10200.297496008174
150,2.5,0.2047945205479452,17.58669975412265,10758.971388382883
150,3.0,0.2014840182648402,17.11190507642365,11317.645280757592
150,4.0,0.19497716894977168,16.166253725924687,12434.993065507006
150,5.0,0.18835616438356165,15.225808148230003,13552.340850256423
150,7.0,0.17557077625570777,13.34941707776012,15787.036419755255
150,10.0,0.15821917808219177,10.558161141781111,19139.079774003505
200,1.0,0.1273972602739726,51.331622159885676,9307.94971125876
200,1.5,0.11837899543378995,50.175718581458206,9866.623603633467
200,2.0,0.1113013698630137,49.26393171535345,10425.297496008174
200,2.5,0.10422374429223745,48.35268858370058,10983.971388382883
200,3.0,0.09771689497716896,47.44196678319359,11542.645280757592
200,4.0,0.08926940639269407,46.1943794729365,12659.993065507006
200,5.0,0.08333333333333333,45.197173593818825,13777.340850256423
200,7.0,0.07066210045662101,43.22736420233072,16012.036419755255
200,10.0,0.0523972602739726,40.2888136922196,19364.079774003505
250,1.0,0.08264840182648402,88.57054988239676,9532.94971125876
250,1.5,0.07260273972602739,87.35468492975374,10091.623603633467
250,2.0,0.06894977168949772,86.7977620867551,10650.297496008174
250,2.5,0.06598173515981735,86.28236151034017,11208.971388382883
250,3.0,0.06278538812785388,85.76788530523464,11767.645280757592
250,4.0,0.05684931506849315,84.74145748141608,12884.993065507006
250,5.0,0.050570776255707765,83.71614670102286,14002.340850256423
250,7.0,0.03858447488584475,81.66917268872712,16237.036419755255
250,10.0,0.019634703196347032,78.64453650115206,19589.079774003505
300,1.0,0.05410958904109589,127.74521929239485,9757.94971125876
300,1.5,0.04805936073059361,126.89077218065167,10316.623603633467
300,2.0,0.04497716894977169,126.36809210482444,10875.297496008174
300,2.5,0.04178082191780822,125.84564257898951,11433.971388382883
300,3.0,0.038470319634703196,125.32368613844123,11992.645280757592
300,4.0,0.03230593607305936,124.28116659982433,13109.993065507006
300,5.0,0.026141552511415526,123.24058454463658,14227.340850256423
300,7.0,0.0136986301369863,121.16243980515044,16462.036419755255
300,10.0,0.0,118.72251407852256,19814.079774003505
350,1.0,0.042922374429223746,168.95742856161786,9982.94971125876
350,1.5,0.034703196347031964,167.80940262923394,10541.623603633467
350,2.0,0.03139269406392694,167.24376373517026,11100.297496008174
350,2.5,0.02819634703196347,166.72051748875197,11658.971388382883
350,3.0,0.025228310502283104,166.19770427200936,12217.645280757592
350,4.0,0.01872146118721461,165.15255652565148,13334.993065507006
350,5.0,0.01221461187214612,164.1086492605768,14452.340850256423
350,7.0,0.0,162.11102763185673,16687.036419755255
350,10.0,0.0,161.35385346671782,20039.079774003505
400,1.0,0.03207762557077626,210.30096685944716,10207.94971125876
400,1.5,0.02408675799086758,209.1370430126138,10766.623603633467
400,2.0,0.01952054794520548,208.4337335078235,11325.297496008174
400,2.5,0.01643835616438356,207.90444942753686,11883.971388382883
400,3.0,0.013013698630136987,207.3766714978444,12442.645280757592
400,4.0,0.006392694063926941,206.32201538157597,13559.993065507006
400,5.0,0.00011415525114155251,205.26869670290563,14677.340850256423
400,7.0,0.0,204.7557532110709,16912.036419755255
400,10.0,0.0,203.99690130478749,20264.079774003505
450,1.0,0.024885844748858448,252.11962150414067,10432.94971125876
450,1.5,0.015068493150684932,250.74463375432708,10991.623603633467
450,2.0,0.009817351598173516,249.95095975405238,11550.297496008174
450,2.5,0.006621004566210046,249.42025242405856,12108.971388382883
450,3.0,0.003538812785388128,248.89019275796028,12667.645280757592
