pv_w,battery_kwh,lolp,curtailed_kwh,cost_index
100,1.0,0.398972602739726,2.348920935324,8857.94971125876
100,1.5,0.3882420091324201,1.1199388333381781,9416.623603633467
100,2.0,0.38333333333333336,0.6682115089216372,9975.297496008174
100,2.5,0.3797945205479452,0.2475190129548934,10533.971388382883
100,3.0,0.37796803652968036,0.0,11092.645280757592
100,4.0,0.3786529680365297,0.0,12209.993065507006
100,5.0,0.37888127853881276,0.0,13327.340850256423
100,7.0,0.37990867579908677,0.0,15562.036419755255
100,10.0,0.3812785388127854,0.0,18914.079774003505
150,1.0,0.21746575342465754,26.17701355412614,9082.94971125876
150,1.5,0.2117579908675799,25.449413032070034,9641.623603633467
150,2.0,0.20776255707762556,24.968541366756583,10200.297496008174
150,2.5,0.20468036529680364,24.488052739440782,10758.971388382883
150,3.0,0.2009132420091324,24.00787906961873,11317.645280757592
150,4.0,0.19452054794520549,23.048295170576615,12434.993065507006
150,5.0,0.1882420091324201,22.092835403017553,13552.340850256423
150,7.0,0.17534246575342466,20.18716563157344,15787.036419755255
150,10.0,0.1562785388127854,17.342316188792562,19139.079774003505
200,1.0,0.1449771689497717,62.26153644524868,9307.94971125876
200,1.5,0.138013698630137,61.35376495283381,9866.623603633467
200,2.0,0.1345890410958904,60.85417350927876,10425.297496008174
200,2.5,0.1312785388127854,60.354808838811685,10983.971388382883
200,3.0,0.12808219178082192,59.85619364759055,11542.645280757592
200,4.0,0.12146118721461187,58.865264137297075,12659.993065507006
200,5.0,0.11495433789954337,57.87838116603859,13777.340850256423
200,7.0,0.10296803652968037,55.913970036993824,16012.036419755255
200,10.0,0.08447488584474885,52.975172255216194,19364.079774003505
250,1.0,0.09897260273972602,101.55957025091017,9532.94971125876
250,1.5,0.09497716894977169,100.98828890408241,10091.623603633467
250,2.0,0.09178082191780822,100.47795177776595,10650.297496008174
250,2.5,0.0884703196347032,99.96909930671426,11208.971388382883
250,3.0,0.08493150684931507,99.4606581947981,11767.645280757592
250,4.0,0.07865296803652969,98.44427520510601,12884.993065507006
250,5.0,0.07248858447488585,97.42874244483139,14002.340850256423
250,7.0,0.06015981735159817,95.40874284645628,16237.036419755255
250,10.0,0.0410958904109589,92.39294564657551,19589.079774003505
300,1.0,0.06769406392694063,142.48094704114783,9757.94971125876
300,1.5,0.06084474885844749,141.54683677775407,10316.623603633467
300,2.0,0.056050228310502284,140.92018030055468,10875.297496008174
300,2.5,0.053082191780821915,140.4098304112841,11433.971388382883
300,3.0,0.049885844748858446,139.90021642767644,11992.645280757592
300,4.0,0.04349315068493151,138.88289064096938,13109.993065507006
300,5.0,0.037100456621004564,137.86621346632467,14227.340850256423
300,7.0,0.024315068493150686,135.83454728642522,16462.036419755255
300,10.0,0.006050228310502283,132.80261984769695,19814.079774003505
350,1.0,0.04908675799086758,185.08704033634046,9982.94971125876
350,1.5,0.03984018264840183,183.9120099499101,10541.623603633467
350,2.0,0.03333333333333333,182.9735375156554,11100.297496008174
350,2.5,0.02682648401826484,182.03569634884187,11658.971388382883
350,3.0,0.020205479452054795,181.09877271329344,12217.645280757592
350,4.0,0.011643835616438357,179.80678035469833,13334.993065507006
350,5.0,0.005365296803652968,178.77547524333963,14452.340850256423
350,7.0,0.0,177.58462481392118,16687.036419755255
350,10.0,0.0,176.8286696214408,20039.079774003505
400,1.0,0.03584474885844749,228.33985180907183,10207.94971125876
400,1.5,0.027511415525114154,227.19228547420067,10766.623603633467
400,2.0,0.020776255707762557,226.25136363439256,11325.297496008174
400,2.5,0.014155251141552512,225.31118555448296,11883.971388382883
400,3.0,0.007648401826484018,224.37200744116595,12442.645280757592
400,4.0,0.0,223.15843363492837,13559.993065507006
400,5.0,0.0,222.90557277270796,14677.340850256423
400,7.0,0.0,222.3998877395338,16912.036419755255
400,10.0,0.0,221.64144598064846,20264.079774003505
450,1.0,0.02591324200913242,271.9840952629889,10432.94971125876
450,1.5,0.017009132420091323,270.72341141811177,10991.623603633467
450,2.0,0.010273972602739725,269.7799459791354,11550.297496008174
450,2.5,0.003767123287671233,268.83869312567657,12108.971388382883
450,3.0,0.00022831050228310502,268.27422121885905,12667.645280757592
450,4.0,0.0,268.00350267493894,13784.993065507006
450,5.0,0.0,267.7504251144251,14902.340850256423
450,7.0,0.0,267.24427004783286,17137.036419755255
450,10.0,0.0,266.48510925613937,20489.079774003505
500,1.0,0.020205479452054795,316.11788907687696,10657.94971125876
500,1.5,0.010958904109589041,314.8375560671097,11216.623603633467
500,2.0,0.005251141552511416,314.0038030098573,11775.297496008174
500,2.5,0.0019406392694063927,313.4643603341188,12333.971388382883
500,3.0,0.0,313.11383509651245,12892.645280757592
500,4.0,0.0,312.86033560720307,14009.993065507007
500,5.0,0.0,312.6068363306193,15127.340850256423
500,7.0,0.0,312.09983845543934,17362.036419755255
500,10.0,0.0,311.33934345040353,20714.079774003505
550,1.0,0.015753424657534248,360.42403354785705,10882.94971125876
550,1.5,0.006621004566210046,359.2050765081172,11441.623603633467
550,2.0,0.003424657534246575,358.65708199773377,12000.297496008174
550,2.5,0.00022831050228310502,358.11776131932237,12558.971388382883
550,3.0,0.0,357.9728892904032,13117.645280757592
550,4.0,0.0,357.71935480052156,14234.993065507007
550,5.0,0.0,357.46582033048975,15352.340850256423
550,7.0,0.0,356.9587535908352,17587.036419755255
550,10.0,0.0,356.1981542760474,20939.079774003505
600,1.0,0.011872146118721462,404.8377302245799,11107.94971125876
600,1.5,0.00502283105022831,403.8448485731678,11666.623603633467
600,2.0,0.0017123287671232876,403.30534942571967,12225.297496008174
600,2.5,0.0,402.9530162404319,12783.971388382883
600,3.0,0.0,402.82623153704833,13342.645280757592
600,4.0,0.0,402.5726621616913,14459.993065507007
600,5.0,0.0,402.3190928048281,15577.340850256423
600,7.0,0.0,401.81195415553975,17812.036419755255
600,10.0,0.0,401.0512463703061,21164.079774003505
650,1.0,0.008789954337899543,449.30058393425736,11332.94971125876
650,1.5,0.003424657534246575,448.4887297775961,11891.623603633467
650,2.0,0.00022831050228310502,447.9493181985546,12450.297496008174
650,2.5,0.0,447.80159538144267,13008.971388382883
650,3.0,0.0,447.67480724839066,13567.645280757592
650,4.0,0.0,447.42123146485244,14684.993065507007
650,5.0,0.0,447.1676568116932,15802.340850256423
650,7.0,0.0,446.6605075535117,18037.036419755255
650,10.0,0.0,445.8997839221001,21389.079774003505
700,1.0,0.006278538812785388,493.82133053901265,11557.94971125876
700,1.5,0.0019406392694063927,493.1498091115336,12116.623603633467
700,2.0,0.0,492.77347736962406,12675.297496008174
700,2.5,0.0,492.6466807236005,13233.971388382883
700,3.0,0.0,492.51988408382965,13792.645280757592
700,4.0,0.0,492.2662908170192,14909.993065507007
700,5.0,0.0,492.01269756475403,16027.340850256423
700,7.0,0.0,491.50551178806506,18262.036419755255
700,10.0,0.0,490.7447362689561,21614.079774003505
750,1.0,0.004908675799086758,538.4683097574916,11782.94971125876
750,1.5,0.0007990867579908676,537.8418393217066,12341.623603633467
750,2.0,0.0,537.6162451568389,12900.297496008174
750,2.5,0.0,537.4894462135206,13458.971388382883
750,3.0,0.0,537.3626472905701,14017.645280757592
750,4.0,0.0,537.1090494715113,15134.993065507007
750,5.0,0.0,536.8554520404649,16252.340850256423
750,7.0,0.0,536.3482584266309,18487.036419755255
750,10.0,0.0,535.5874683640199,21839.079774003505
800,1.0,0.003538812785388128,583.1131269988314,12007.94971125876
800,1.5,0.0,582.5835789847149,12566.623603633467
800,2.0,0.0,582.4567770377732,13125.297496008174
800,2.5,0.0,582.3299750986614,13683.971388382883
800,3.0,0.0,582.2031731796698,14242.645280757592
800,4.0,0.0,581.9495694111797,15359.993065507007
800,5.0,0.0,581.6959656426876,16477.340850256423
800,7.0,0.0,581.1887581240724,18712.036419755255
800,10.0,0.0,580.4279468903,22064.079774003505
850,1.0,0.0019406392694063927,627.7682027592604,12232.94971125876
850,1.5,0.0,627.4225824983885,12791.623603633467
850,2.0,0.0,627.2957779933175,13350.297496008174
850,2.5,0.0,627.1689734882466,13908.971388382883
850,3.0,0.0,627.0421689879469,14467.645280757592
850,4.0,0.0,626.7885599945215,15584.993065507007
850,5.0,0.0,626.5349510261991,16702.340850256423
850,7.0,0.0,626.0277331335146,18937.036419755255
850,10.0,0.0,625.2669069663468,22289.079774003505
900,1.0,0.00045662100456621003,672.4470953006714,12457.94971125876
900,1.5,0.0,672.2599594161925,13016.623603633467
900,2.0,0.0,672.1331545898902,13575.297496008174
900,2.5,0.0,672.0063497635878,14133.971388382883
900,3.0,0.0,671.879544938996,14692.645280757592
900,4.0,0.0,671.6259353043514,15809.993065507007
900,5.0,0.0,671.3723256710487,16927.340850256423
900,7.0,0.0,670.8651066594325,19162.036419755255
900,10.0,0.0,670.1042783206782,22514.079774003505
950,1.0,0.0,717.2226146990511,12682.94971125876
950,1.5,0.0,717.0958083658686,13241.623603633467
950,2.0,0.0,716.9690020406528,13800.297496008174
950,2.5,0.0,716.8421957154364,14358.971388382883
950,3.0,0.0,716.7153894696282,14917.645280757592
950,4.0,0.0,716.4617770403763,16034.993065507007
950,5.0,0.0,716.208164645079,17152.340850256423
950,7.0,0.0,715.7009399595468,19387.036419755255
950,10.0,0.0,714.9401030508394,22739.079774003505
